answers,resps,success
D,Sawa.,True
A,A,True
D,A,True
C,A,True
A,A,True
D,A,True
B,A,True
C,A,True
A,A,True
B,A,True
D,A,True
D,A,True
A,D,True
B,A,True
D,A,True
B,A,True
D,A,True
A,A,True
C,A,True
B,A,True
D,A,True
A,A,True
D,A,True
D,A,True
C,A,True
D,A,True
A,A,True
B,A,True
C,A,True
B,A,True
B,A,True
B,A,True
D,A,True
C,A,True
A,A,True
B,D,True
C,A,True
C,A,True
C,A,True
B,A,True
D,D,True
C,A,True
B,A,True
C,A,True
B,A,True
C,A,True
C,A,True
C,A,True
A,A,True
C,A,True
C,A,True
A,A,True
C,A,True
B,A,True
C,A,True
C,A,True
B,A,True
C,A,True
A,A,True
A,A,True
D,A,True
D,Sawa.,True
C,A,True
C,A,True
B,A,True
B,A,True
A,A,True
B,A,True
B,A,True
C,Sawa.,True
C,D,True
B,D,True
C,A,True
B,A,True
C,A,True
C,A,True
D,Sawa.,True
D,A,True
C,A,True
A,A,True
A,A,True
D,D,True
D,A,True
A,D,True
C,A,True
C,A,True
C,A,True
D,A,True
B,A,True
C,A,True
C,A,True
B,Sawa.,True
D,A,True
A,A,True
D,A,True
D,A,True
D,A,True
B,A,True
D,A,True
B,A,True
A,A,True
A,D,True
A,A,True
C,A,True
B,A,True
B,A,True
A,A,True
D,A,True
D,A,True
A,A,True
B,A,True
B,A,True
A,D,True
B,A,True
D,A,True
C,D,True
B,A,True
B,A,True
B,A,True
C,A,True
C,A,True
D,A,True
B,A,True
C,A,True
A,A,True
B,A,True
A,A,True
A,Sawa.,True
C,A,True
A,A,True
D,Sawa.,True
C,Sawa.,True
B,A,True
D,Sawa.,True
D,A,True
B,A,True
C,A,True
C,A,True
C,A,True
B,A,True
C,A,True
D,D,True
C,A,True
A,A,True
B,D,True
B,A,True
B,D,True
C,A,True
A,A,True
B,A,True
C,A,True
B,A,True
D,Sawa.,True
B,A,True
A,A,True
C,A,True
B,A,True
C,A,True
C,A,True
C,A,True
A,D,True
B,A,True
B,A,True
D,A,True
D,A,True
D,A,True
A,A,True
D,Sawa.,True
C,A,True
B,A,True
D,A,True
D,A,True
C,A,True
D,A,True
D,A,True
B,A,True
C,A,True
C,A,True
C,D,True
A,A,True
D,A,True
D,A,True
B,A,True
