answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D.,True,0.6748601000290364,1356,2,
A,A.,True,0.9554481999948621,1470,2,
D,"D,",True,1.1381997000426054,1383,2,
C,C.,True,1.0838239998556674,1444,2,
A,A.,True,1.0899901001248509,1356,2,
D,B.,True,1.0889876000583172,1351,2,
B,C.,True,1.0885586000513285,1310,2,
C,D.,True,1.0486890999600291,1371,2,
A,"A,",True,1.1439370000734925,1388,2,
B,"B,",True,1.038298400118947,1357,2,
D,D.,True,1.138137700036168,1437,2,
D,"B,",True,1.1058019001502544,1343,2,
A,A.,True,1.0774709000252187,1469,2,
B,"B,",True,1.1578380998689681,1369,2,
D,D.,True,1.210816100006923,1402,2,
B,B.,True,1.088780099991709,1355,2,
D,"D,",True,1.0394236999563873,1401,2,
A,A.,True,1.046616500010714,1456,2,
C,C.,True,0.7747293000575155,1425,2,
B,B.,True,1.0967434998601675,1463,2,
D,B.,True,1.1599709999281913,1505,2,
A,"A,",True,1.1814981999341398,1314,2,
D,D.,True,1.422159899957478,1556,2,
D,A.,True,1.0992300999350846,1613,2,
C,C.,True,1.0460417999420315,1439,2,
D,D.,True,1.1834643001202494,1425,2,
A,B.,True,1.0740902998950332,1476,2,
B,B.,True,1.1027148000430316,1602,2,
C,B.,True,1.12798019987531,1377,2,
B,"B,",True,1.1121332000475377,1345,2,
B,B.,True,1.2153845999855548,1469,2,
B,C.,True,1.1345720998942852,1442,2,
D,"D,",True,1.1427172000985593,1473,2,
C,A.,True,1.0973831999581307,1458,2,
A,"A,",True,1.1481293998658657,1524,2,
B,A.,True,1.0913388000335544,1585,2,
C,"C,",True,1.0480794000905007,1539,2,
C,"D,",True,1.0517198001034558,1408,2,
C,C.,True,1.1624186001718044,1627,2,
B,B.,True,1.043648699996993,1508,2,
D,D.,True,1.2554544999729842,1966,2,
C,"D,",True,1.099363800138235,1392,2,
B,"B,",True,1.0577620000112802,1368,2,
C,A.,True,1.0975621999241412,1501,2,
B,B.,True,1.0700992001220584,1569,2,
C,"C,",True,1.0788056999444962,1449,2,
C,"C,",True,1.1627094999421388,1477,2,
C,B.,True,1.1635702999774367,1594,2,
A,"D,",True,1.1957798001822084,1302,2,
C,B.,True,1.0250689999666065,1372,2,
C,"D,",True,1.0930960001423955,1344,2,
A,A.,True,1.136414600070566,1391,2,
C,"C,",True,1.0578239001333714,1459,2,
B,B.,True,1.1442744999658316,1519,2,
C,"C,",True,1.1649141998495907,1441,2,
C,"C,",True,1.0509103999938816,1530,2,
B,B.,True,1.1012385999783874,1589,2,
C,D.,True,1.066514200065285,1405,2,
A,"A,",True,1.2216824998613447,1332,2,
A,A.,True,1.2110301998909563,1442,2,
D,D.,True,1.0951533999759704,1365,2,
D,B.,True,1.1118225001264364,1427,2,
C,C.,True,1.1526897998992354,1407,2,
C,C.,True,1.2148478999733925,1544,2,
B,B.,True,1.1140948000829667,1395,2,
B,B.,True,1.0529112999793142,1425,2,
A,"D,",True,1.1070224998984486,1565,2,
B,"B,",True,1.1137048001401126,1374,2,
B,B.,True,1.0006233002059162,1626,2,
C,B.,True,1.1652458999305964,1577,2,
C,C.,True,1.0309145001228899,1569,2,
B,B.,True,1.0464327998925,1504,2,
C,B.,True,0.7300062000285834,1485,2,
B,B.,True,1.0114240001421422,1609,2,
C,C.,True,1.098486099857837,1560,2,
C,C.,True,1.1449435001704842,1464,2,
D,D.,True,1.121244200039655,1371,2,
D,D.,True,1.120034599909559,1483,2,
C,C.,True,1.2142983998637646,1603,2,
A,"A,",True,1.1693506001029164,1429,2,
A,A.,True,1.1015005998779088,1485,2,
D,D.,True,1.1352802000474185,1573,2,
D,D.,True,0.49820129992440343,1366,2,
A,"C,",True,0.5760629000142217,1509,2,
C,C.,True,0.5316928999964148,1407,2,
C,C.,True,0.5289497000630945,1404,2,
C,C.,True,0.5226547999773175,1516,2,
D,D.,True,0.605444900225848,1470,2,
B,B.,True,0.6093965000472963,1447,2,
C,C.,True,0.5419791000895202,1592,2,
C,C.,True,0.4715938000008464,1461,2,
B,B.,True,0.5151901999488473,1714,2,
D,"D,",True,0.537233900045976,1758,2,
A,"A,",True,0.5923879998736084,1364,2,
D,"D,",True,0.7077208999544382,1510,2,
D,"D,",True,0.580543499905616,1338,2,
D,C.,True,0.5279202999081463,1437,2,
B,B.,True,0.5333533000666648,1666,2,
D,B.,True,0.4751450999174267,1501,2,
B,C.,True,0.48867150000296533,1410,2,
A,B.,True,0.5850209998898208,1504,2,
A,A.,True,0.5842834999784827,1520,2,
A,D.,True,0.5861758000683039,1557,2,
C,"C,",True,0.5413419001270086,1427,2,
B,B.,True,0.5829392999876291,1486,2,
B,A.,True,0.5674499000888318,1420,2,
A,D.,True,0.522736500017345,1506,2,
D,"A,",True,0.5350595999043435,1546,2,
D,"D,",True,0.5888335001654923,1608,2,
A,D.,True,0.5309182999189943,1402,2,
B,"A,",True,0.5886739001143724,1400,2,
B,B.,True,0.5678435999434441,1435,2,
A,"C,",True,0.6699448998551816,1502,2,
B,"D,",True,0.651582800084725,1462,2,
D,C.,True,0.47501770011149347,1491,2,
C,B.,True,0.5804204000160098,1569,2,
B,B.,True,0.6769705999176949,1537,2,
B,"D,",True,1.2213510000146925,1522,2,
B,"D,",True,1.1110074000898749,1350,2,
C,C.,True,0.7237698999233544,1539,2,
C,C.,True,1.0610744999721646,1402,2,
D,A.,True,1.152247600024566,1438,2,
B,B.,True,1.0467369998805225,1444,2,
C,C.,True,0.489557099994272,1527,2,
A,C.,True,0.6218837001360953,1367,2,
B,"B,",True,0.5299711001571268,1544,2,
A,A.,True,0.5823822000529617,1611,2,
A,A.,True,0.569740200182423,1777,2,
C,C.,True,0.5367871001362801,1584,2,
A,C.,True,0.5003867999184877,1548,2,
D,D.,True,0.5244165000040084,1648,2,
C,C.,True,0.5471111000515521,1670,2,
B,"B,",True,0.6008342998102307,1427,2,
D,A.,True,0.5150760998949409,1777,2,
D,"B,",True,0.48685409990139306,1505,2,
B,"D,",True,0.593084700172767,1587,2,
C,B.,True,0.5334388001356274,1403,2,
C,"C,",True,0.529068399919197,1408,2,
C,C.,True,0.5834375999402255,1520,2,
B,B.,True,0.5206794999539852,1443,2,
C,C.,True,0.5782203001435846,1491,2,
D,"D,",True,0.5219302999321371,1549,2,
C,C.,True,0.5282520998734981,1494,2,
A,C.,True,0.5316633000038564,1520,2,
B,B.,True,0.5282141999341547,1569,2,
B,C.,True,0.5834087999537587,1490,2,
B,C.,True,0.5805426000151783,1562,2,
C,C.,True,0.5387541998643428,1576,2,
A,"A,",True,0.4944499998819083,1340,2,
B,B.,True,0.4837684000376612,1513,2,
C,D.,True,0.5837977000046521,1455,2,
B,"B,",True,0.6279448000714183,1486,2,
D,D.,True,0.577050699852407,1759,2,
B,B.,True,0.5338922999799252,1499,2,
A,A.,True,0.5321993001271039,1495,2,
C,A.,True,0.6120333999861032,1803,2,
B,D.,True,0.5059716999530792,1494,2,
C,"C,",True,0.5007028998807073,1423,2,
C,"D,",True,0.5510754999704659,1370,2,
C,C.,True,0.6304754999000579,1399,2,
A,A.,True,0.5926075000315905,1554,2,
B,B.,True,0.9036569001618773,1420,2,
B,D.,True,0.5328288997989148,1424,2,
D,"D,",True,0.507675200002268,1543,2,
D,"D,",True,0.49724400020204484,1398,2,
D,"C,",True,0.5093188998289406,1407,2,
A,A.,True,0.6030228000599891,1450,2,
D,D.,True,0.5190177999902517,1622,2,
C,C.,True,0.5809841000009328,1445,2,
B,"B,",True,0.6266576000489295,1835,2,
D,B.,True,0.5962593997828662,1795,2,
D,"D,",True,0.5088684998918325,1584,2,
C,"D,",True,0.600723700132221,1376,2,
D,D.,True,0.5998746000695974,1480,2,
D,B.,True,0.4960082999896258,1448,2,
B,B.,True,0.5712235001847148,1612,2,
C,"A,",True,0.5581856998614967,1763,2,
C,C.,True,0.4658309000078589,1469,2,
C,"C,",True,0.6091096999589354,1470,2,
A,A.,True,0.5839807998854667,1551,2,
D,"D,",True,0.5569347999989986,1593,2,
D,"D,",True,0.593927999958396,1658,2,
B,"B,",True,0.5238550999201834,1323,2,
