answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,"D,",True,7.337233100086451,1989,2,633
A,A.,True,9.338082400150597,2374,2,904
D,D,True,7.956274600001052,2086,1,704
C,C.,True,7.323220399906859,2042,2,598
A,A,True,8.430996000068262,2200,1,845
D,D.,True,6.390347399981692,1845,2,494
B,B,True,14.624466000124812,2933,1,1624
C,"C,",True,7.996616900200024,2172,2,801
A,A,True,8.139132999815047,2201,1,814
B,B,True,27.676189499907196,4392,1,3036
D,D,True,8.108101499965414,2268,1,832
D,"D,",True,8.065584299853072,1986,2,643
A,A.,True,9.59442470013164,2379,2,910
B,"B,",True,9.096829900052398,2144,2,775
D,"D,",True,10.182873800164089,2398,2,996
B,B,True,8.217945099808276,2188,1,834
D,"D,",True,7.63669229997322,2085,2,684
A,A.,True,13.470430900109932,2741,2,1285
C,"C,",True,8.61981049994938,2256,2,831
B,B,True,13.117481800029054,2843,1,1381
D,D.,True,8.178903399966657,2311,2,806
A,"A,",True,6.031056399922818,1836,2,522
D,D,True,13.801580100087449,2871,1,1316
D,"D,",True,11.879350999835879,2734,2,1121
C,C,True,8.922585299937055,2290,1,852
D,D.,True,16.745702400105074,3146,2,1721
A,"A,",True,12.409370000008494,2787,2,1311
B,B.,True,11.147989299846813,2670,2,1068
C,"A,",True,69.92626979993656,8866,2,7489
B,B,True,12.879154300084338,2671,1,1327
B,B,True,12.18415049999021,2718,1,1250
B,C.,True,19.42527710017748,3617,2,2175
D,D.,True,8.256159800104797,2201,2,728
C,"C,",True,8.33365870011039,2235,2,777
A,A,True,14.235508499899879,2948,1,1425
B,B.,True,12.167715300107375,2898,2,1313
C,C.,True,10.651445900090039,2591,2,1052
C,D.,True,14.05916119995527,2707,2,1299
C,C.,True,11.496336500160396,2881,2,1254
B,B.,True,16.97862170008011,3279,2,1771
D,D.,True,12.491869600024074,3214,2,1248
C,"C,",True,7.5836718999780715,1928,2,536
B,"B,",True,7.0295116999186575,2023,2,655
C,B.,True,63.91158309997991,8488,2,6987
B,B,True,13.907871299888939,3023,1,1455
C,"C,",True,16.408455800032243,3187,2,1738
C,"C,",True,11.487980599980801,2630,2,1153
C,B.,True,14.93734039994888,3202,2,1608
A,A.,True,12.247720799874514,2604,2,1302
C,"C,",True,6.868968700058758,1787,2,415
C,"C,",True,18.967992499936372,3419,2,2075
A,"A,",True,7.892339600017294,2090,2,699
C,C.,True,14.097989700036123,3023,2,1564
B,"B,",True,12.571205999935046,2882,2,1363
C,"C,",True,8.833055699942634,2177,2,736
C,"A,",True,13.008601499954239,2647,2,1117
B,B,True,14.276331099914387,2946,1,1358
C,C,True,10.78420879994519,2380,1,976
A,A.,True,6.466192200081423,1938,2,606
A,A,True,29.327124000061303,4528,1,3087
D,"D,",True,10.34477089997381,2523,2,1158
D,"D,",True,6.887665200047195,2114,2,687
C,B.,True,9.492868399946019,2408,2,1001
C,C.,True,8.20396209997125,2434,2,890
B,"B,",True,8.5609311000444,2276,2,881
B,B.,True,20.064968999940902,3637,2,2212
A,A.,True,13.924049000022933,3074,2,1509
B,B.,True,13.210374699905515,2767,2,1393
B,B.,True,9.692181800026447,2524,2,898
C,C.,True,16.148288700031117,3244,2,1667
C,C.,True,12.291136499959975,2864,2,1295
B,B.,True,13.113366599893197,2621,2,1117
C,"B,",True,8.836949800141156,2288,2,803
B,B.,True,11.326332399854437,2590,2,981
C,"C,",True,10.187136000022292,2460,2,900
C,"C,",True,8.201336099999025,2238,2,774
D,C.,True,16.33177120005712,3027,2,1656
D,"D,",True,6.92824920010753,2123,2,640
C,C.,True,11.138650899985805,2642,2,1039
A,A.,True,24.880147699965164,4186,2,2757
A,A.,True,14.626482299994677,3052,2,1567
D,"D,",True,10.509157999884337,2641,2,1068
D,D.,True,34.58312590001151,4655,2,3289
A,A.,True,14.589855799917132,3018,2,1509
C,"C,",True,5.692381599918008,1903,2,496
C,"C,",True,10.544797300128266,2416,2,1012
C,C,True,14.175470200134441,2970,1,1455
D,D.,True,8.370204699924216,2311,2,841
B,"B,",True,19.573938200017437,3343,2,1896
C,C,True,23.607779999962077,3697,1,2106
C,C.,True,14.072445000056177,2199,2,738
B,B.,True,15.52537459996529,3007,2,1293
D,"D,",True,14.949799899943173,3272,2,1514
A,"A,",True,10.833290500100702,2209,2,845
D,"A,",True,8.722725400002673,2453,2,943
D,"D,",True,7.260918000014499,2083,2,745
D,D.,True,9.294407200068235,2426,2,989
B,B.,True,12.290021100081503,2915,2,1249
D,B.,True,16.320506300078705,3093,2,1592
B,"B,",True,5.783461400074884,1872,2,462
A,A.,True,16.594248099951074,3204,2,1700
A,A.,True,9.89803919987753,2546,2,1026
A,"A,",True,13.98881829995662,2432,2,875
C,C,True,22.016655100043863,3485,1,2059
