answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,11.846521800000119,2244,1.0,889
A,A,True,10.961930100000245,2438,1.0,969
D,D,True,8.527236300000368,1964,1.0,582
C,C,True,8.934281499999997,2056,1.0,613
A,A,True,16.234591800001,2570,1.0,1215
D,D,True,10.647796199998993,2138,1.0,788
B,B,True,9.358910200000537,1957,1.0,648
C,D,True,67.16808449999917,7127,1.0,5757
A,A,True,9.35776369999985,1976,1.0,589
B,B,True,13.865936500000316,2338,1.0,982
D,D,True,11.30201390000002,2257,1.0,821
D,D,True,9.880143599999428,2174,1.0,832
A,A,True,12.579262900000685,2402,1.0,934
B,B,True,12.072212500001115,2391,1.0,1023
D,D,True,9.498183199999403,2089,1.0,688
B,B,True,12.43900500000018,2357,1.0,1003
D,D,True,10.35778240000036,2108,1.0,708
A,A,True,12.397271400001046,2448,1.0,993
C,C,True,12.028327699999863,2360,,937
B,B,True,10.062730899999224,2196,1.0,734
D,D,True,12.291022400000656,2340,,837
A,A,True,10.772105100000772,2125,,813
D,D.,True,12.57249740000043,2519,2.0,963
D,D,True,16.887124499999118,2836,1.0,1224
C,C,True,11.128779900000154,2207,1.0,769
D,D,True,9.925532299999759,2220,1.0,796
A,A,True,14.954128400000627,2738,1.0,1263
B,B,True,11.70144529999925,2479,1.0,878
C,C,True,16.626260799999727,2737,1.0,1361
B,B,True,9.569734300001073,2046,1.0,702
B,B,True,12.76229019999846,2517,1.0,1049
B,B,True,26.243953799999872,3424,1.0,1983
D,D,True,11.633354300000065,2407,1.0,935
C,C,True,9.81027449999965,2200,1.0,743
A,A,True,14.030848500000502,2524,,1002
B,B,True,15.179502900000443,2590,1.0,1006
C,C,True,9.345129299999826,2262,,725
C,C,True,56.52600410000014,5536,1.0,4129
C,C,True,11.683107599999857,2474,1.0,848
B,B,True,12.770844500000749,2460,1.0,953
D,D,True,15.594454499998392,3167,1.0,1202
C,C,True,12.760484100001122,2412,1.0,1021
B,B,True,11.607699899999716,2280,1.0,913
C,C,True,49.3251436999999,5781,1.0,4281
B,B,True,10.942614999999932,2498,1.0,930
C,C,True,9.43470890000026,2031,1.0,583
C,C,True,12.282217500000115,2425,1.0,949
C,B,True,23.640059800000017,3591,1.0,1998
A,A,True,13.190452999999252,2314,,1014
C,C,True,10.014058999999179,2165,1.0,794
C,C,True,20.32313769999928,3024,1.0,1681
A,A,True,10.788073199999417,2179,1.0,789
C,C,True,11.055319499999314,2294,1.0,836
B,B,True,12.66774919999989,2424,1.0,906
C,C,True,8.59542010000041,2181,1.0,741
C,A,True,46.43530180000016,4496,1.0,2967
B,B,True,12.237689199999295,2571,1.0,983
C,C,True,11.043826400000398,2187,,784
A,A,True,9.964112399999067,2025,1.0,694
A,A,True,19.101268500000515,2973,1.0,1532
D,D,True,9.061742299998514,2067,1.0,703
D,D,True,11.76251339999908,2355,1.0,929
C,C,True,16.241066200000205,2804,1.0,1398
C,C,True,11.989048600000388,2349,1.0,806
B,B,True,9.018573699999251,2039,1.0,645
B,B,True,22.470385699998587,3008,1.0,1584
A,A,True,17.160252199999377,2795,1.0,1231
B,B,True,12.097479199999725,2246,1.0,873
B,B,True,12.67428319999999,2539,1.0,914
C,C,True,15.71898340000007,2814,,1239
C,C,True,9.900354300001709,2378,1.0,810
B,B,True,23.014471100001174,3180,,1678
C,C,True,19.45309719999932,2961,1.0,1477
B,B,True,13.026570800000627,2567,1.0,959
C,C,True,14.937694000000192,2548,1.0,989
C,C,True,10.896039299999757,2291,1.0,828
D,C,True,43.10744200000045,4756,1.0,3386
D,D,True,9.725390800000241,2278,1.0,796
C,C,True,12.231091300000116,2537,1.0,935
A,A,True,8.965561999999409,2079,1.0,651
A,A,True,10.925195799998619,2362,1.0,878
D,D,True,14.73259500000131,2726,1.0,1154
D,A,True,46.9665487000002,5196,1.0,3831
A,A,True,12.970691500000612,2509,,1002
C,C,True,11.03501359999973,2287,1.0,881
C,C,True,15.037510799998927,2410,1.0,1007
C,C,True,9.498246699999072,2354,1.0,839
D,D,True,11.893425500000376,2419,1.0,950
B,B,True,8.478436500001408,2174,1.0,728
C,C,True,18.724014200000966,2481,1.0,890
C,C,True,8.127777300000162,2088,1.0,628
B,B,True,10.764412299999094,2510,1.0,797
D,D,True,14.667887700001302,2989,1.0,1232
A,A,True,25.480138499999157,3440,1.0,2077
D,A,True,18.47653850000097,3072,1.0,1563
D,D,True,18.50611509999908,2849,,1513
D,D,True,17.40984649999882,3023,1.0,1587
B,B,True,10.599630299999262,2423,1.0,758
D,B,True,35.3260005000011,3992,1.0,2492
B,B,True,10.832528700000694,2152,1.0,743
A,A,True,47.03126809999958,5422,1.0,3919
A,A,True,9.703714299999774,2439,1.0,920
A,A.,True,10.254162699999142,2360,2.0,803
C,C,True,10.0347941,2247,1.0,821
B,B,True,11.966529100000116,2442,1.0,957
B,B,True,46.22229159999915,5575,1.0,4156
A,A,True,9.341407300000355,2246,1.0,741
D,D,True,24.659162100000685,3629,1.0,2084
D,D,True,10.596187700000883,2370,1.0,763
A,A,True,21.059266799999023,2982,1.0,1581
B,B,True,12.412176499999987,2392,,994
B,B,True,12.36031439999897,2361,1.0,927
A,A,True,14.644793400000708,2525,1.0,1024
B,B,True,9.54630139999972,2167,1.0,706
D,C,True,13.57986770000025,2340,1.0,850
C,C.,True,17.96891030000006,3081,2.0,1512
B,B,True,13.02442449999944,2509,1.0,973
B,D,True,13.009141600001385,2538,1.0,1017
B,B,True,10.462739700000384,2118,1.0,769
C,C,True,11.637302099999943,2411,1.0,873
C,C,True,10.91644880000058,2229,1.0,828
D,A,True,16.120083200001318,2724,1.0,1287
B,B,True,10.17038500000126,2199,1.0,756
C,C,True,6.985208499998407,1933,,408
A,A,True,17.479465100001107,2718,1.0,1352
B,D,True,19.16368380000131,3142,1.0,1599
A,A,True,15.156670500000473,2629,1.0,1019
A,A,True,24.463311599998633,3690,1.0,1914
C,C,True,10.300773900000422,2282,1.0,699
A,A,True,11.4126727999992,2540,,994
D,D,True,12.33033990000149,2606,1.0,959
C,C,True,11.420988500000021,2635,1.0,966
B,B,True,7.5529157999990275,2041,1.0,615
D,D,True,10.44378990000041,2479,1.0,703
D,D.,True,25.020555999999488,3624,2.0,2119
B,D.,True,10.7466160999993,2472,2.0,885
C,C,True,33.17061710000053,4103,1.0,2701
C,C,True,8.799407900000006,2115,1.0,708
C,C,True,12.721630500000174,2447,1.0,928
B,B,True,7.151380600000266,1958,1.0,516
C,C,True,9.841177199999947,2296,1.0,806
D,D,True,14.448829799999658,2715,1.0,1167
C,C,True,10.416859899998599,2372,1.0,879
A,A,True,12.321270600001299,2512,,994
B,B,True,12.085278600001402,2592,1.0,1024
B,B,True,9.546960199999376,2194,1.0,705
B,B,True,30.788909299999432,3666,1.0,2105
C,C,True,14.88989120000042,2725,1.0,1150
A,A,True,9.653507400000308,2116,1.0,777
B,B,True,22.586690199999794,3317,1.0,1805
C,C,True,59.545932700000776,5922,1.0,4468
B,B,True,11.855367599999227,2364,1.0,879
D,D,True,17.281892300001346,3392,1.0,1634
B,B,True,10.295864800000345,2255,1.0,757
A,A,True,12.539978799999517,2380,1.0,886
C,C,True,13.174881700000697,2726,1.0,924
B,B,True,14.367108599999483,2560,1.0,1067
C,C.,True,13.43047789999946,2348,2.0,925
C,C,True,9.945520999999644,2152,1.0,783
C,C,True,15.173261800000546,2508,1.0,1110
A,A,True,15.629999599999792,2797,1.0,1244
B,B,True,12.71506539999973,2435,1.0,1016
B,B,True,10.404659900001207,2183,1.0,760
D,D,True,9.77799799999957,2306,1.0,764
D,D,True,12.432531299999027,2361,1.0,964
D,D,True,15.073975499999506,2456,1.0,1050
A,A,True,12.79699790000086,2316,1.0,867
D,D,True,9.909960599999977,2334,1.0,713
C,C,True,10.753773399999773,2262,1.0,818
B,B,True,17.322531399999207,3141,1.0,1307
D,B.,True,33.138343200000236,4098,2.0,2303
D,D,True,12.491093800001181,2424,1.0,841
C,C,True,13.077407900000253,2301,1.0,926
D,D,True,9.918361600000935,2340,1.0,861
D,D,True,11.447695200000453,2279,,833
B,B,True,10.065450799998871,2379,1.0,768
C,C,True,11.755350500001441,2620,1.0,858
C,A,True,63.741101399999025,6952,1.0,5484
C,C,True,26.445626900000207,3911,1.0,2442
A,A,True,10.869151900000361,2461,1.0,911
D,D,True,10.67074810000122,2416,1.0,824
D,A,True,18.413620200000878,3160,1.0,1503
B,B,True,9.735359199999948,2108,1.0,786
