answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,"D,",True,4.532021000000896,1267,59,48
A,"A,",True,3.4353503000002092,1417,111,100
D,"D,",True,1.8461169999991398,1281,41,30
C,"C,",True,1.9408965999991779,1335,41,30
A,"A,",True,3.5981124000009004,1334,126,115
D,"D,",True,3.841859599999225,1286,83,72
B,"C,",True,7.3939618000003975,1592,426,415
C,"C,",True,1.8352850999999646,1283,58,47
A,"A,",True,2.915148100000806,1285,47,36
B,"B,",True,0.9494486000003235,1216,5,0
D,"D,",True,1.4882584999995743,1325,38,27
D,"D,",True,2.222004100000049,1270,71,60
A,"A,",True,2.374198299999989,1377,71,60
B,"B,",True,3.8120926000010513,1317,89,78
D,"D,",True,2.7706507000002603,1351,100,89
B,"B,",True,4.275788500000999,1376,160,149
D,"D,",True,2.867567899998903,1312,68,57
A,"A,",True,3.732666900001277,1442,139,128
C,"C,",True,2.4812065999994957,1341,61,50
B,"B,",True,2.483257899999444,1362,54,43
D,"D,",True,2.6564465000010387,1447,94,83
A,"A,",True,4.9825504000000365,1405,227,216
D,"D,",True,3.47589809999954,1489,100,89
D,"A,",True,4.2450494000004255,1597,157,146
C,"C,",True,2.7749315000000934,1356,72,61
D,"D,",True,3.0086580000006506,1321,51,40
A,"A,",True,4.02204299999903,1431,108,97
B,"B,",True,4.311615599999641,1566,132,121
C,"A,",True,6.6823678000000655,1535,299,288
B,"B,",True,1.969100599999365,1253,52,41
B,"B,",True,2.504972099999577,1394,74,63
B,"C,",True,5.16266480000013,1491,207,196
D,"D,",True,2.902570799999012,1425,107,96
C,"C,",True,2.630621999998766,1394,82,71
A,"A,",True,2.560740299999452,1417,57,46
B,"B,",True,4.164336600000752,1582,163,152
C,"C,",True,3.329559600000721,1479,105,94
C,"D,",True,5.6097632000000885,1438,177,166
C,"C,",True,2.6852875000004133,1552,102,91
B,"B,",True,4.255455300000904,1483,132,121
D,"D,",True,3.4688562999999704,1905,154,143
C,"C,",True,3.0149564999992435,1370,120,109
B,"B,",True,1.8480187000004662,1264,46,35
C,"B,",True,2.956781499999124,1453,106,95
B,"B,",True,3.3407910999994783,1490,79,68
C,"C,",True,3.029585100000986,1380,80,69
C,"C,",True,3.0033977999992203,1403,84,73
C,"B,",True,4.423679199999242,1551,137,126
A,"A,",True,4.5138845999990735,1276,113,102
C,"C,",True,2.8430334999993647,1335,111,100
C,"C,",True,4.906993300000977,1373,171,160
A,"A,",True,4.6315027000000555,1381,126,115
C,"C,",True,1.7891039000005549,1354,50,39
B,"B,",True,2.3374728999988292,1392,43,32
C,"C,",True,2.8097082000003866,1419,126,115
C,"A,",True,3.6695665000006557,1512,149,138
B,"B,",True,2.9679955000010523,1539,103,92
C,"B,",True,3.9290804999982356,1347,109,98
A,"A,",True,2.0570131999993464,1249,58,47
