answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,B,True,27.767218800028786,2137,557,0.0
A,A,True,5.266462699975818,2153,446,
D,D,True,4.343507300131023,1919,299,
C,C,True,4.35731069999747,2011,333,
A,C,True,11.839957999996841,2045,477,
D,B,True,12.227845899993554,2341,772,
B,C,True,5.686051200143993,1742,225,
C,C,True,10.111837100004777,2041,456,
A,A,True,32.93569069984369,1914,300,0.0
B,B,True,3.6633490999229252,1825,246,
D,A,True,61.745894300052896,2114,442,0.0
D,A,True,10.396138699958101,1990,430,
A,A,True,16.658674200065434,2400,692,
B,D,True,18.156397300073877,3112,1518,
D,B,True,5.966379199875519,2071,443,
B,C,True,5.675402000080794,2023,442,
D,D,True,19.21516150003299,2453,830,
A,A,True,32.86742509994656,3201,1498,
C,C,True,14.893986699869856,1946,281,
B,B,True,9.224211900029331,2045,335,
D,D,True,22.96099130017683,3062,1315,
A,A,True,12.55296350014396,1818,294,
D,D,True,14.894561099819839,2476,650,
D,D,True,10.576738900039345,2318,441,
C,C,True,4.566518200095743,1960,286,
D,D,True,11.792767900042236,2157,501,
A,A,True,26.465575700160116,2901,1168,
B,C,True,7.962091600056738,2541,658,
C,D,True,30.983343299943954,2965,1366,
B,D,True,7.9648514001164585,1987,423,
B,B,True,8.309602800058201,2241,543,
B,A,True,9.557353500043973,2287,617,
D,D,True,26.00364389992319,2182,475,0.0
C,A,True,26.60966859990731,2209,522,0.0
A,A,True,11.068178799934685,2199,434,
B,C,True,29.353035500040278,3099,1276,
C,C,True,8.857163399923593,2415,631,
C,C,True,14.532540399814025,2840,1201,
C,C,True,6.11804399988614,2337,440,
B,B,True,6.556956300046295,2294,541,
D,D,True,12.846946700010449,2832,520,
C,C,True,24.06309219985269,3250,1627,
B,C,True,27.89148660004139,2477,891,0.0
C,D,True,8.577597700059414,2290,548,
B,B,True,6.7177810000721365,2259,439,
C,C,True,7.683877700008452,2009,314,
C,B,True,193.77626959979534,3455,1741,0.0
C,C,True,8.081413199892268,2342,492,
A,C,True,5.373085200088099,1824,318,
C,B,True,10.74335390003398,2275,695,
C,B,True,18.776497200131416,2141,573,
A,C,True,12.43744509993121,2062,444,0.0
C,C,True,8.055310599971563,2161,456,
B,B,True,7.079398799920455,2190,414,
C,C,True,14.995865099830553,2271,600,
C,A,True,24.058824500069022,2755,954,0.0
B,B,True,13.035522100050002,2350,507,0.0
C,B,True,6.374112999998033,2075,447,
A,A,True,4.916645599994808,1851,308,
A,A,True,8.521705500083044,1966,300,0.0
D,D,True,7.815268799895421,1781,201,0.0
D,C,True,10.991199499927461,2009,357,0.0
C,B,True,4.87416119989939,2023,379,
C,C,True,15.064724699826911,2150,346,
B,B,True,5.846716000000015,1948,326,
B,B,True,6.093576500192285,2032,381,
A,D,True,21.50005490006879,2708,887,
B,B,True,7.767833500169218,2076,476,
B,B,True,13.158871500054374,2786,902,
C,C,True,12.660522599937394,2380,532,
C,B,True,9.65207579988055,2157,328,
B,B,True,11.764710300136358,2214,481,
C,D,True,26.362409699941054,2881,1152,
B,B,True,25.785929600009695,2869,994,0.0
C,C,True,24.47361629991792,2817,987,
C,B,True,45.22948340000585,3617,1938,0.0
D,C,True,13.746596500044689,2121,534,0.0
D,D,True,5.087272400036454,2046,307,
C,D,True,13.980882900068536,2456,598,
A,B,True,136.14956879988313,3054,1402,0.0
A,B,True,10.023603399982676,2128,405,
D,A,True,9.49114970001392,2330,490,
D,D,True,5.197506099939346,1940,348,
A,A,True,36.51349800010212,2989,1244,0.0
C,C,True,13.908070300007239,2217,572,
C,C,True,6.908753599971533,2183,548,
C,C,True,12.276978899957612,2303,532,
D,D,True,6.90901910001412,2210,489,
B,B,True,6.454488399904221,1944,266,
