answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,1.6771658998914063,2327,2,
A,C,True,1.2038517999462783,2508,2,
D,C,True,1.1915881999302655,2364,2,
C,A,True,1.1371677999850363,2467,2,
A,C,True,0.5917703998275101,2283,2,
D,C,True,0.5880962999071926,2280,2,
B,C,True,1.1276281999889761,2216,2,
C,C,True,0.5289537999778986,2259,2,
A,C,True,1.1224164001177996,2336,2,
B,C,True,0.6835167000535876,2323,2,
D,B,True,0.6100011998787522,2389,2,
D,C,True,0.5993014997802675,2245,2,
A,C,True,1.0899110999889672,2508,2,
B,D,True,0.5633403998799622,2296,2,
D,C,True,0.5831478000618517,2367,2,
B,D,True,0.5947404999751598,2316,2,
D,B,True,0.5838083999697119,2369,2,
A,C,True,1.1969357000198215,2442,2,
C,D,True,0.6070373998954892,2438,2,
B,B,True,0.620656699873507,2467,2,
D,B,True,0.5817152999807149,2590,2,
A,B,True,0.5701812000479549,2225,2,
D,B,True,0.6096636999864131,2638,2,
D,D,True,0.719380599912256,2728,2,
C,B,True,0.6421276000328362,2418,2,
D,D,True,1.0674591001588851,2440,2,
A,B,True,1.357233599992469,2556,2,
B,B,True,0.6411911000031978,2706,2,
C,D,True,0.5869086999446154,2358,2,
B,B,True,0.6478558001108468,2269,2,
B,B,True,0.7942977999337018,2569,2,
B,C,True,0.570306999841705,2412,2,
D,C,True,0.5730184998828918,2474,2,
C,B,True,0.59930540015921,2472,2,
A,B,True,0.6069604000076652,2591,2,
B,C,True,0.5400404999963939,2680,2,
C,C,True,0.6037187001202255,2653,2,
C,C,True,0.6193535001948476,2474,2,
C,B,True,0.8156075999140739,2796,2,
B,C,True,0.5895835999399424,2582,2,
D,C,True,0.7226962998975068,3298,2,
C,C,True,0.5834600001107901,2367,2,
B,D,True,0.5730793999973685,2368,2,
C,B,True,0.5967377000488341,2577,2,
B,C,True,0.5971140000037849,2709,2,
C,C,True,0.6082144000101835,2502,2,
C,B,True,0.6740073999390006,2565,2,
C,C,True,0.6508410000242293,2688,2,
A,B,True,0.7051204000599682,2183,2,
C,C,True,0.609732500044629,2272,2,
C,C,True,0.5850123998243362,2277,2,
A,B,True,0.5535637000575662,2462,2,
C,C,True,0.7924552001059055,2494,2,
B,C,True,0.5751708999741822,2580,2,
C,B,True,0.620246599894017,2494,2,
C,C,True,0.6545371001120657,2602,2,
B,B,True,0.6671259000431746,2641,2,
C,B,True,0.650625699898228,2389,2,
A,C,True,0.5465265999082476,2230,2,
A,C,True,0.6041149001102895,2416,2,
D,B,True,0.6484884000383317,2411,2,
D,D,True,0.5655934000387788,2414,2,
C,C,True,0.6120599999558181,2397,2,
C,B,True,0.6063876999542117,2636,2,
B,B,True,0.6340121000539511,2373,2,
B,D,True,0.597863300004974,2443,2,
A,D,True,0.5842821998521686,2683,2,
B,B,True,0.7090592999011278,2272,2,
B,B,True,0.6042051000986248,2715,2,
C,C,True,0.714194200001657,2662,2,
C,D,True,0.6859158999286592,2703,2,
B,B,True,0.5627383999526501,2478,2,
C,C,True,0.5719628999941051,2537,2,
B,B,True,0.6348202999215573,2724,2,
C,C,True,0.625781700015068,2630,2,
C,C,True,0.6560833998955786,2443,2,
D,D,True,0.9179380999412388,2301,2,
D,C,True,0.6138871000148356,2524,2,
C,C,True,0.5882244000677019,2751,2,
A,D,True,0.5930038001388311,2431,2,
A,B,True,0.5646092002280056,2616,2,
D,C,True,0.605459599988535,2679,2,
D,C,True,0.6085956001188606,2313,2,
A,B,True,0.5970425999257714,2525,2,
C,D,True,0.6264865999110043,2340,2,
C,C,True,0.6207052001263946,2473,2,
C,D,True,0.8562090999912471,2591,2,
D,C,True,0.6167187001556158,2564,2,
B,C,True,0.8640755999367684,2394,2,
C,C,True,0.683530000038445,2693,2,
C,B,True,0.6156701999716461,2524,2,
B,B,True,0.6792365999426693,3020,2,
D,D,True,0.6196731000673026,3022,2,
A,B,True,0.5711743999272585,2366,2,
D,A,True,0.6223387999925762,2577,2,
D,B,True,0.579105099895969,2278,2,
D,B,True,0.5928171998821199,2549,2,
B,C,True,0.9897940000519156,2798,2,
D,C,True,0.5870340999681503,2520,2,
B,A,True,0.6022139999549836,2370,2,
A,C,True,0.634954399894923,2476,2,
A,D,True,0.5770055998582393,2579,2,
A,D,True,0.5593809001147747,2705,2,
C,B,True,0.5685425999108702,2456,2,
B,C,True,0.5685660999733955,2593,2,
B,C,True,0.5821720000822097,2440,2,
A,B,True,0.5973309001419693,2561,2,
D,D,True,0.6233465999830514,2681,2,
D,C,True,0.9037474000360817,2682,2,
A,B,True,0.5662411001976579,2351,2,
B,B,True,0.586454699980095,2294,2,
B,C,True,0.6089336001314223,2434,2,
A,C,True,1.0012915001716465,2524,2,
B,B,True,0.5630111000500619,2517,2,
D,C,True,0.7040798999369144,2608,2,
C,D,True,0.6610985000152141,2774,2,
B,B,True,0.646328300004825,2633,2,
B,C,True,0.6175797998439521,2557,2,
B,A,True,0.6579800001345575,2292,2,
C,C,True,0.6083712999243289,2651,2,
C,B,True,0.578780900221318,2417,2,
D,B,True,0.5935407998040318,2436,2,
B,B,True,0.5552002999465913,2465,2,
C,D,True,0.6686134000774473,2579,2,
A,D,True,0.5525406999513507,2332,2,
B,B,True,0.5930418998468667,2657,2,
A,C,True,0.5823175001423806,2819,2,
A,C,True,0.6871805998962373,2990,2,
C,B,True,0.6221135000232607,2755,2,
A,B,True,0.6621401000302285,2617,2,
D,C,True,0.6106189000420272,2760,2,
C,C,True,0.6040131999179721,2846,2,
B,A,True,1.110817200038582,2432,2,
D,C,True,0.8543231000658125,3072,2,
D,B,True,0.8804706998635083,2595,2,
B,D,True,0.6215113000944257,2713,2,
