answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,15.258826500037685,2901,906,896
A,A,True,11.596912800101563,2737,586,576
D,C,True,10.478346699848771,2557,522,512
C,C,True,8.227894099894911,2461,330,320
A,A,True,13.025661000050604,2884,906,896
D,A,True,34.0369041999802,3326,1354,1344
B,B,True,10.319284900091588,2629,714,704
C,C,True,10.650142299942672,2460,522,512
A,A,True,11.930581300053746,2342,330,320
B,B,True,7.224591599777341,2402,394,384
D,C,True,11.83155390014872,2644,586,576
D,D,True,9.013549700146541,2325,394,384
A,A,True,17.424209899967536,3391,1226,1216
B,B,True,33.10061389999464,4106,2123,2112
D,D,True,7.288630000082776,2436,394,384
B,B,True,13.258862599963322,2443,458,448
D,C,True,15.959758799988776,2949,906,896
A,A,True,40.328124300111085,4186,2058,2048
C,C,True,6.973218800034374,2501,394,384
B,B,True,16.349731100024655,2970,842,832
D,D,True,20.924399699782953,3416,1162,1152
A,B,True,6.394933599978685,2189,266,256
D,D,True,12.397370100021362,2938,650,640
D,B,True,26.90535409981385,3779,1418,1408
C,C,True,10.963782399892807,2488,394,384
D,D,True,18.21330610010773,2945,842,832
A,D,True,18.00210370006971,3090,906,896
B,B,True,19.165850500110537,3121,778,768
C,C,True,33.992515300167724,3910,1866,1856
B,B,True,11.595384299987927,2676,714,704
B,B,True,14.119823799934238,3193,970,960
B,C,True,22.486973399994895,3297,1226,1216
D,D,True,8.92625920008868,2681,522,512
C,A,True,11.180849600117654,2788,650,640
A,A,True,8.071168299997225,2627,394,384
B,D,True,33.05029910011217,4192,1866,1856
C,C,True,16.511157900094986,3135,842,832
C,D,True,16.85661720018834,2935,781,768
C,C,True,23.680668599903584,3656,1226,1216
B,B,True,15.486399100162089,3008,778,768
D,D,True,13.280225099995732,3511,650,640
C,C,True,26.18452399992384,3780,1738,1728
B,B,True,9.35555800003931,2680,650,640
C,C,True,16.18635779991746,3068,842,832
B,B,True,13.326147699961439,3236,906,896
C,A,True,158.58508479990996,2442,266,256
C,C,True,28.097776900045574,3261,1034,1024
C,B,True,8.14470209996216,2572,266,256
A,C,True,31.49637469998561,3881,1994,1984
C,B,True,17.275812599807978,2785,842,832
C,B,True,9.91189210000448,2545,586,576
A,A,True,8.971308999927714,2683,522,512
C,C,True,12.245821099961177,2872,714,704
B,B,True,11.73118680017069,3196,970,960
C,B,True,23.236117199994624,3586,1418,1408
C,A,True,48.47099589998834,4480,2252,2240
B,B,True,16.71598149999045,3142,842,832
C,B,True,33.1191374999471,4182,2123,2112
A,A,True,9.66849619988352,2252,330,320
A,B,True,26.731902999803424,3118,1034,1024
D,D,True,26.67090760008432,3304,1226,1216
D,C,True,12.10446810000576,2653,586,576
C,B,True,43.11330129997805,4577,2506,2496
C,C,True,16.58592619979754,3062,779,768
B,B,True,12.761655200039968,2628,586,576
B,B,True,23.484238700009882,3545,1418,1408
A,D,True,35.098709400044754,4122,1802,1792
B,B,True,34.46667949995026,3452,1482,1472
B,B,True,14.446130500175059,2802,458,448
C,C,True,13.558744499925524,3020,714,704
C,C,True,16.169770899927244,2904,586,576
B,B,True,51.76929480000399,5301,3146,3136
C,C,True,12.700432799989358,2907,714,704
B,A,True,41.87631029984914,4140,1802,1792
C,C,True,33.393927600001916,3678,1418,1408
C,C,True,33.77620319998823,4102,1994,1984
D,D,True,35.903856500051916,3594,1610,1600
D,D,True,12.173295399872586,2846,656,640
C,C,True,26.88957959995605,3908,1546,1536
A,A,True,35.98753159982152,3844,1739,1728
A,A,True,28.73204890009947,3260,970,960
D,D,True,16.884775899816304,3210,906,896
D,D,True,16.70477159996517,2516,522,512
A,A,True,18.569907000055537,3334,1162,1152
C,C,True,23.573072799947113,3433,1421,1408
C,C,True,8.591762399999425,2731,586,576
C,C,True,16.78820710000582,3275,1034,1024
D,D,True,9.628371699946001,2743,522,512
B,C,True,10.024099000031129,2571,522,512
C,C,True,9.488439500099048,2785,458,448
C,C,True,10.146968400105834,2690,522,512
B,B,True,18.291827799985185,3335,714,704
D,D,True,18.193696999922395,3301,650,640
A,A,True,11.815605900017545,2513,458,448
D,A,True,13.423009400023147,2944,714,704
D,D,True,8.390059600118548,2353,394,384
D,D,True,30.108928199857473,3176,974,960
B,B,True,16.484074000036344,3334,906,896
D,B,True,31.095238200156018,3517,1354,1344
B,B,True,8.343453499954194,2771,714,704
A,B,True,19.2428310001269,3115,970,960
A,A,True,14.858515999978408,3019,778,768
A,A,True,36.011336099822074,3810,1482,1472
C,D,True,35.8735812001396,4116,1994,1984
B,B,True,17.459727100096643,3329,1098,1088
B,B,True,15.989525299984962,2937,842,832
A,A,True,15.508914100006223,3003,778,768
D,B,True,15.753730099881068,3302,970,960
D,B,True,15.896352200070396,3252,906,896
A,D,True,26.477734900079668,3952,1930,1920
B,B,True,18.344311099965125,2952,970,960
B,B,True,17.995415800018236,2885,778,768
A,D,True,62.00587549991906,4765,2570,2560
B,B,True,20.460763700073585,3094,906,896
D,D,True,14.849513200111687,2897,650,640
C,C,True,20.272011499851942,3482,1098,1088
B,B,True,13.578779899980873,3102,842,832
B,B,True,14.697530000004917,2729,522,512
B,B,True,14.062498999992386,2693,714,704
C,C,True,26.75389220006764,3974,1674,1664
C,C,True,15.398669900139794,2985,907,896
D,A,True,11.39183590002358,2816,714,704
B,B,True,11.508258800022304,2974,843,832
C,C,True,15.726008899975568,2944,714,704
A,D,True,27.086105900118127,3361,1356,1344
B,B,True,18.03900930006057,2940,650,640
A,A,True,32.93220890010707,3955,1546,1536
A,A,True,32.13024879992008,3529,970,960
C,C,True,13.071149100083858,2898,522,512
A,A,True,22.040145199978724,3591,1354,1344
D,D,True,15.06130459997803,3157,778,768
C,C,True,17.597103100037202,3482,1034,1024
B,B,True,15.737491199979559,2796,714,704
D,D,True,29.696072600083426,3897,1226,1216
D,B,True,24.58297450002283,3418,1162,1152
B,D,True,7.799750200007111,2709,330,320
C,B,True,52.04226060002111,3885,1738,1728
C,C,True,27.260067699942738,3309,1162,1152
C,C,True,26.766764799831435,3680,1290,1280
B,B,True,11.114760200027376,2596,458,448
C,C,True,6.944880699971691,2437,202,192
D,D,True,73.63633050001226,4876,2571,2560
C,C,True,15.32562160002999,2799,586,576
A,A,True,17.753394900122657,3003,778,768
B,B,True,30.013428599806502,3320,970,960
B,C,True,29.534376099938527,3139,970,960
B,D,True,27.217100200010464,3725,1418,1408
C,C,True,24.48261830001138,3273,970,960
A,A,True,8.46367650013417,2425,458,448
B,B,True,24.230097400024533,3464,1289,1280
C,C,True,19.690646900096908,3041,906,896
B,B,True,24.724356699967757,2852,650,640
D,C,True,40.42369559989311,4276,1674,1664
B,B,True,7.2176050001289696,2484,266,256
A,A,True,12.717923199990764,2930,714,704
C,C,True,48.41425050003454,4317,1674,1664
B,B,True,50.53017090004869,4960,2760,2752
C,C,True,17.702004600083455,3186,1098,1088
C,C,True,12.891036899993196,2740,714,704
C,D,True,12.354720399947837,2747,714,704
A,D,True,24.03412769990973,3424,1162,1152
B,B,True,28.11189749999903,3655,1612,1600
B,B,True,23.186331999953836,3312,1098,1088
D,D,True,16.05632849992253,3149,842,832
D,B,True,16.05936750001274,2797,778,768
D,B,True,17.381154699949548,2864,778,768
A,A,True,18.06100929994136,2874,714,704
D,D,True,17.9894916000776,3076,650,640
C,C,True,19.153916800161824,2555,458,448
B,D,True,30.536375899799168,3985,1162,1152
D,D,True,10.87643270008266,3164,458,448
D,D,True,20.24736990011297,3193,842,832
C,C,True,14.58955159992911,2504,522,512
D,D,True,17.204908900195733,3040,842,832
D,B,True,18.14069759985432,3000,842,832
B,C,True,16.1579408000689,2890,522,512
C,C,True,18.09775079996325,3295,714,704
C,C,True,17.002480699913576,3068,1035,1024
C,C,True,17.733628999907523,3297,1034,1024
A,A,True,19.14947329997085,2974,778,768
D,D,True,39.621010600123554,4420,2058,2048
D,B,True,16.16909690015018,3452,1098,1088
B,B,True,8.048590600024909,2459,522,512
