answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,C,True,1.1885502999648452,2318,1,
A,C,True,1.0503741998691112,2499,1,
D,C,True,1.1625704998150468,2355,1,
C,C,True,1.1536591998301446,2458,1,
A,A,True,1.0710272998549044,2274,1,
D,C,True,1.2348112999461591,2271,1,
B,B,True,1.1892033000476658,2207,1,
C,C,True,1.1360418000258505,2250,1,
A,B,True,1.1468465998768806,2327,1,
B,B,True,1.1627999001648277,2314,1,
D,C,True,1.2796624000184238,2380,1,
D,C,True,1.140619499841705,2236,1,
A,A,True,1.1111814000178128,2499,1,
B,C,True,1.2995962998829782,2287,1,
D,D,True,1.1352462000213563,2358,1,
B,B,True,1.1478933999314904,2307,1,
D,D,True,1.1443487999495119,2360,1,
A,D,True,1.2960192000027746,2433,1,
C,C,True,1.2904300999362022,2429,1,
B,A,True,1.1159336999990046,2458,1,
D,C,True,1.3093574999365956,2581,1,
A,B,True,1.295004699844867,2216,1,
D,B,True,1.1454058000817895,2629,1,
D,D,True,1.1296178000047803,2719,1,
C,C,True,1.1395578000228852,2409,1,
D,B,True,1.1349428000394255,2431,1,
A,D,True,1.1374379999469966,2547,1,
B,B,True,1.1333343000151217,2697,1,
C,C,True,1.1395061002112925,2349,1,
B,D,True,1.3474504000041634,2260,1,
B,A,True,1.0946663999930024,2560,1,
B,D,True,1.1379492999985814,2403,1,
D,D,True,1.1473048001062125,2465,1,
C,A,True,1.1327261999249458,2463,1,
A,A,True,1.3997972002252936,2582,1,
B,A,True,1.0598327000625432,2671,1,
C,C,True,1.1456985000986606,2644,1,
C,D,True,1.3099674999248236,2465,1,
C,C,True,1.1540341000072658,2787,1,
B,B,True,1.308679400011897,2573,1,
D,C,True,1.1131545999087393,3289,1,
C,C,True,1.3161889999173582,2358,1,
B,B,True,1.4735206000041217,2359,1,
C,C,True,1.1431231000460684,2568,1,
B,B,True,1.142820700071752,2700,1,
C,D,True,1.0727985999546945,2493,1,
C,C,True,1.1499727999325842,2556,1,
C,A,True,0.5533022000454366,2679,1,
A,C,True,0.6246225000359118,2174,1,
C,B,True,0.6151892000343651,2263,1,
C,D,True,0.6311089000664651,2268,1,
A,C,True,0.5380577000323683,2453,1,
C,C,True,0.6110874998848885,2485,1,
B,B,True,0.6332540998701006,2571,1,
C,B,True,0.6150291999801993,2485,1,
C,C,True,0.6707130998838693,2593,1,
B,B,True,0.5486193001270294,2632,1,
C,D,True,0.5468563998583704,2380,1,
A,C,True,0.5222659001592547,2221,1,
A,B,True,0.5557727999985218,2407,1,
D,B,True,0.6083776000887156,2402,1,
D,C,True,0.5530685000121593,2405,1,
C,C,True,0.6554300999268889,2388,1,
C,C,True,0.5478564000222832,2627,1,
B,B,True,0.5537443000357598,2364,1,
B,B,True,0.5550562001299113,2434,1,
A,D,True,0.534429700113833,2674,1,
B,D,True,0.5636710000690073,2263,1,
B,B,True,0.5544338999316096,2706,1,
C,C,True,0.5473081001546234,2653,1,
C,C,True,0.6700279000215232,2694,1,
B,D,True,0.5466531000565737,2469,1,
C,D,True,0.5357124998699874,2528,1,
B,B,True,0.5577934000175446,2715,1,
C,C,True,0.5540847000665963,2621,1,
C,A,True,0.7058424002025276,2434,1,
D,D,True,0.6167974001727998,2292,1,
D,D,True,0.5504373998846859,2515,1,
C,D,True,0.49882419989444315,2742,1,
A,D,True,0.6652595999184996,2422,1,
A,B,True,0.5817579000722617,2607,1,
D,D,True,0.6671073997858912,2670,1,
D,D,True,0.6091942999046296,2304,1,
A,C,True,0.6126848999410868,2516,1,
C,C,True,0.6212380998767912,2331,1,
C,C,True,0.6536669998895377,2464,1,
C,A,True,0.604142599971965,2582,1,
D,D,True,0.5554321999661624,2555,1,
B,B,True,0.5542194000445306,2385,1,
C,C,True,0.6134371999651194,2684,1,
C,C,True,0.643754999851808,2515,1,
B,B,True,0.6415621000342071,3011,1,
D,A,True,0.5870072999969125,3013,1,
A,A,True,0.6643879001494497,2357,1,
D,B,True,0.5443113998044282,2568,1,
D,D,True,0.6741520999930799,2269,1,
D,B,True,0.5452368999831378,2540,1,
B,B,True,0.7007543998770416,2789,1,
D,C,True,0.5536078999284655,2511,1,
B,B,True,0.6029843001160771,2361,1,
A,B,True,0.5720482999458909,2467,1,
A,C,True,0.5999137000180781,2570,1,
A,A,True,0.6509197000414133,2696,1,
C,B,True,0.6422604999970645,2447,1,
B,B,True,0.5691550001502037,2584,1,
B,A,True,0.5627864000853151,2431,1,
A,D,True,0.641776000149548,2552,1,
D,D,True,0.601200400153175,2672,1,
D,B,True,0.5164372001308948,2673,1,
A,D,True,0.6253983001224697,2342,1,
B,C,True,0.5573519000317901,2285,1,
B,B,True,0.6534503002185374,2425,1,
A,D,True,0.5960721999872476,2515,1,
B,B,True,0.5460254999343306,2508,1,
D,C,True,0.6123489998281002,2599,1,
C,D,True,0.5014321999624372,2765,1,
B,B,True,0.539280500030145,2624,1,
B,D,True,0.5554129998199642,2548,1,
B,D,True,0.5586314999964088,2283,1,
C,B,True,0.6655993999447674,2642,1,
C,C,True,0.716884900117293,2408,1,
D,B,True,0.5465812999755144,2427,1,
B,B,True,0.6430349999573082,2456,1,
C,B,True,0.655090400017798,2570,1,
A,D,True,0.523522200062871,2323,1,
B,D,True,0.6049256999976933,2648,1,
A,C,True,0.5419104001484811,2810,1,
A,B,True,0.6601543000433594,2981,1,
C,C,True,0.7073664001654834,2746,1,
A,C,True,0.6539243999868631,2608,1,
D,C,True,0.6889076998922974,2751,1,
C,C,True,0.6496125999838114,2837,1,
B,D,True,0.5512303998693824,2423,1,
D,A,True,0.5434329998679459,3063,1,
D,D,True,0.5560729999560863,2586,1,
B,D,True,0.6579305999912322,2704,1,
C,B,True,0.557537900051102,2473,1,
C,C,True,0.5541451000608504,2489,1,
C,B,True,0.6607925998978317,2737,1,
B,B,True,0.6682319999672472,2474,1,
C,C,True,0.5903534998651594,2579,1,
D,C,True,0.5497512000147253,2624,1,
C,C,True,0.6627187000121921,2523,1,
A,C,True,0.5877948999404907,2553,1,
B,B,True,0.6409700000658631,2708,1,
B,C,True,0.6071963999420404,2490,1,
B,D,True,0.5331333000212908,2668,1,
C,C,True,0.691901900107041,2670,1,
A,A,True,0.5170976999215782,2269,1,
B,B,True,0.5472255998756737,2507,1,
C,C,True,0.5593030001036823,2449,1,
B,B,True,0.6392956001218408,2533,1,
D,B,True,0.5468117001000792,2954,1,
B,C,True,0.7016429998911917,2571,1,
A,A,True,0.6175731001421809,2553,1,
C,A,True,0.7121920001227409,3076,1,
B,C,True,0.5571212999057025,2534,1,
C,C,True,0.5472533998545259,2397,1,
C,D,True,0.5224884999915957,2331,1,
C,D,True,0.4936464000493288,2362,1,
A,B,True,0.5378346000798047,2597,1,
B,B,True,0.5513959999661893,2364,1,
B,D,True,0.5987495000008494,2553,1,
D,D,True,0.6012584001291543,2635,1,
D,C,True,0.510471299989149,2325,1,
D,B,True,0.5026553000789136,2425,1,
A,D,True,0.5958910000044852,2504,1,
D,C,True,0.6620147998910397,2806,1,
C,D,True,0.5514532998204231,2411,1,
B,D,True,0.6416627999860793,3224,1,
D,D,True,0.7652510001789778,3077,1,
D,D,True,0.625388199929148,2707,1,
C,D,True,0.5029297999572009,2277,1,
D,B,True,0.5453457999974489,2555,1,
D,B,True,0.5519895998295397,2483,1,
B,C,True,0.652554800035432,2724,1,
C,C,True,0.5888317998033017,2959,1,
C,D,True,0.6253351999912411,2348,1,
C,A,True,0.5458327000960708,2595,1,
A,A,True,0.6590295999776572,2521,1,
D,B,True,0.5469730000477284,2742,1,
D,D,True,0.5426795999519527,2710,1,
B,C,True,0.6715159001760185,2232,1,
