answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,8.732015799963847,3293.0,1.0,975.0
A,A,True,12.178237699903548,3587.0,1.0,1088.0
D,C,True,9.004188499879092,3185.0,1.0,830.0
C,C,True,10.019923999905586,3404.0,1.0,946.0
A,A,True,13.655640499899164,3703.0,1.0,1429.0
D,D,True,10.357651900034398,3417.0,1.0,1146.0
B,B,True,8.756520399823785,3089.0,1.0,882.0
C,C,True,7.9635185999795794,3066.0,1.0,816.0
A,A,True,7.801512600155547,3147.0,1.0,820.0
B,B,True,8.834917899919674,3195.0,1.0,881.0
D,C,True,10.669644600013271,3532.0,1.0,1152.0
D,D,True,9.99096060008742,3201.0,1.0,965.0
A,A,True,9.004827700089663,3303.0,1.0,804.0
B,B,True,10.22094490006566,3439.0,1.0,1152.0
D,D,True,10.494176300009713,3479.0,1.0,1121.0
B,B,True,8.361950800055638,3239.0,1.0,932.0
D,D,True,14.382808899972588,3855.0,1.0,1495.0
A,A,True,19.639736799988896,4694.0,1.0,2261.0
C,C,True,9.84406269993633,3543.0,1.0,1114.0
B,B,True,10.07925339997746,3398.0,1.0,940.0
D,D,True,9.445006399881095,3632.0,1.0,1051.0
A,D,True,15.33795480011031,3777.0,1.0,1561.0
D,D,True,13.234758800128475,3812.0,1.0,1183.0
D,A,True,20.36475330009125,4864.0,1.0,2145.0
C,C,True,9.50437800004147,3423.0,1.0,1014.0
D,D,True,9.861385999945924,3365.0,1.0,934.0
A,A,True,12.558763700071722,3754.0,1.0,1207.0
B,B,True,11.042812299914658,3818.0,1.0,1121.0
C,C,True,14.615897699957713,3968.0,1.0,1619.0
B,B,True,9.024263600120321,3245.0,1.0,985.0
B,B,True,12.721815399825573,3870.0,1.0,1310.0
B,C,True,10.725125099997967,3568.0,1.0,1165.0
D,D,True,11.955879699904472,3839.0,1.0,1374.0
C,C,True,10.035838000010699,3519.0,1.0,1056.0
A,A,True,11.53276570001617,3658.0,1.0,1076.0
B,B,True,27.558886000188068,5730.0,1.0,3059.0
C,C,True,12.070512300124392,4064.0,1.0,1420.0
C,D,True,15.494939199881628,3918.0,1.0,1453.0
C,C,True,11.016202999977395,3789.0,1.0,1002.0
B,A,True,22.141649500001222,4829.0,1.0,2256.0
D,D,True,11.212509099859744,4380.0,1.0,1091.0
C,C,True,11.990487799979746,3555.0,1.0,1197.0
B,B,True,10.361019600182772,3497.0,1.0,1138.0
C,B,True,10.907517800107598,3786.0,1.0,1218.0
B,B,True,10.744004799984396,3762.0,1.0,1062.0
C,C,True,8.610497700050473,3327.0,1.0,834.0
C,C,True,8.38382610003464,3398.0,1.0,842.0
C,B,True,9.452487299917266,3750.0,1.0,1071.0
A,C,True,9.63211699994281,3164.0,1.0,990.0
C,B,True,11.773185400059447,3353.0,1.0,1090.0
C,C,True,10.891874100081623,3513.0,1.0,1245.0
A,A,True,10.327870900044218,3624.0,1.0,1171.0
C,C,True,8.273212499916553,3308.0,1.0,823.0
B,B,True,11.92645509983413,4000.0,1.0,1429.0
C,C,True,10.224903899943456,3506.0,1.0,1021.0
C,A,True,12.814080700045452,3962.0,1.0,1369.0
B,B,True,9.11107650003396,3633.0,1.0,1001.0
C,C,True,11.026310299988836,3622.0,1.0,1242.0
A,A,True,11.375358199933544,3345.0,1.0,1124.0
A,A,True,7.181534099858254,3120.0,1.0,713.0
D,D,True,8.586071700090542,3340.0,1.0,938.0
D,D,True,10.213325599906966,3519.0,1.0,1114.0
C,,False,,,,
C,,False,,,,
B,,False,,,,
B,,False,,,,
A,,False,,,,
B,,False,,,,
B,,False,,,,
C,,False,,,,
C,C,True,14.666908100014552,4155.0,1.0,1461.0
B,B,True,12.388409200124443,3735.0,1.0,1266.0
C,C,True,13.243345800088719,3904.0,1.0,1376.0
B,B,True,9.932755599962547,3623.0,1.0,908.0
C,C,True,12.675837100017816,3933.0,1.0,1312.0
C,C,True,14.571891100145876,4006.0,1.0,1572.0
D,D,True,11.156572100007907,3329.0,1.0,1037.0
D,D,True,11.710030399961397,3677.0,1.0,1162.0
C,C,True,11.681302099954337,3881.0,1.0,1139.0
A,A,True,57.54853030014783,8968.0,1.0,6546.0
A,A,True,12.799884399864823,3939.0,1.0,1332.0
D,D,True,14.870277700014412,4039.0,1.0,1369.0
D,A,True,13.013966999948025,3371.0,1.0,1067.0
A,A,True,11.536955200135708,3548.0,1.0,1032.0
C,C,True,8.61589609994553,3102.0,1.0,771.0
C,C,True,13.754143900005147,3576.0,1.0,1112.0
C,C,True,11.238199499901384,3666.0,1.0,1084.0
D,D,True,8.514892700128257,3415.0,1.0,860.0
B,B,True,6.05103089986369,2876.0,1.0,491.0
C,C,True,13.481838000006974,3940.0,1.0,1256.0
C,C,True,8.286852200049907,3334.0,1.0,819.0
B,C,True,26.280916000017896,5906.0,1.0,2895.0
D,D,True,33.76717959996313,6911.0,1.0,3898.0
A,A,True,10.789721899898723,3398.0,1.0,1041.0
D,A,True,14.089754599845037,4026.0,1.0,1458.0
D,D,True,10.258607000112534,3253.0,1.0,984.0
D,D,True,14.576343500055373,4020.0,1.0,1480.0
B,B,True,12.71920399996452,3958.0,1.0,1169.0
D,C,True,13.931536300107837,3919.0,1.0,1408.0
B,B,True,10.641334200045094,3293.0,1.0,932.0
A,B,True,14.248229099903256,3798.0,1.0,1331.0
A,A,True,13.860938200028613,3828.0,1.0,1258.0
A,A,True,15.010889499913901,4133.0,1.0,1437.0
C,C,True,13.928179200040177,3765.0,1.0,1318.0
