answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,5.574732500012033,2095,100,90
A,A,True,5.3907730000209995,2323,172,162
D,C,True,3.7748302000109106,2161,126,116
C,C,True,1.9216982999932952,2189,58,48
A,A,True,3.42816839995794,2110,132,122
D,D,True,7.00771179998992,2341,369,359
B,B,True,2.1990061000105925,1986,71,61
C,C,True,2.576351399999112,2041,103,93
A,A,True,2.348560100013856,2060,48,38
B,B,True,1.2916112000239082,2040,32,22
D,D,True,3.2450449999887496,2180,122,112
D,D,True,2.087491099955514,2027,96,86
A,A,True,3.8577249000081792,2284,119,109
B,B,True,3.872573399974499,2090,107,97
D,D,True,3.2340823000413366,2126,84,74
B,B,True,3.701630000025034,2095,110,100
D,D,True,5.172814399993513,2231,188,178
A,A,True,6.472711200010963,2359,231,221
C,C,True,2.845173200010322,2196,89,79
B,B,True,4.137484100006986,2269,141,131
D,D,True,5.188451400026679,2476,222,212
A,A,True,2.513392000051681,2000,77,67
D,B,True,3.163888400013093,2363,75,65
D,D,True,7.748955500021111,2676,315,305
C,C,True,3.0198582999873906,2197,103,93
D,D,True,4.009525200002827,2234,131,121
A,A,True,4.226962499960791,2345,161,151
B,B,True,4.570995699963532,2537,194,184
C,B,True,10.279832000029273,2568,524,514
B,B,True,2.1647624999750406,2051,89,79
B,B,True,4.307253500039224,2289,66,56
B,C,True,5.2086266000405885,2258,187,177
D,D,True,2.8255173999932595,2239,80,70
C,A,True,2.640436400019098,2225,87,77
A,A,True,4.058769299997948,2327,94,84
B,B,True,4.990532699972391,2524,198,188
C,C,True,3.1142098999698646,2402,109,99
C,D,True,5.970051200012676,2423,269,259
C,C,True,3.3719989000237547,2550,120,110
B,B,True,3.891365399991628,2372,142,132
D,D,True,3.332812200009357,2971,110,100
C,C,True,6.449228300014511,2336,294,284
B,B,True,1.4344120000023395,2063,33,23
C,B,True,4.959635300037917,2402,176,166
B,B,True,3.7773823000025004,2444,114,104
C,A,True,3.156709000002593,2293,117,107
C,C,True,3.274681100039743,2360,133,123
C,B,True,5.626607099955436,2432,126,116
A,B,True,9.998249700001907,2407,520,510
C,C,True,6.9113627999904566,2292,349,339
C,C,True,5.36630910000531,2248,289,279
A,A,True,3.8749370999867097,2267,106,96
C,C,True,3.523510700033512,2273,115,105
B,B,True,2.188658100028988,2295,69,59
C,B,True,6.237877600011416,2470,302,292
C,C,True,14.226145799970254,2907,679,669
B,B,True,6.829065700003412,2589,289,279
C,B,True,14.03151020000223,2301,242,232
A,B,True,3.2480565999867395,2071,149,139
A,A,True,4.827066000027116,2298,214,204
D,D,True,4.18451809999533,2237,159,149
D,D,True,3.653805200010538,2190,123,113
C,B,True,3.515404900012072,2196,125,115
C,C,True,4.094867899955716,2423,140,130
B,B,True,4.63639590004459,2177,135,125
B,B,True,4.8810598000418395,2288,161,151
A,D,True,6.190111199975945,2547,227,217
B,B,True,4.431407800002489,2118,148,138
B,B,True,2.439815499994438,2417,73,63
C,C,True,3.316680499992799,2386,80,70
C,C,True,4.960037800017744,2507,189,179
B,B,True,11.57251460000407,2698,543,533
C,C,True,2.389396099955775,2273,80,70
B,C,True,11.980153999989852,2881,543,533
C,C,True,3.6464466999750584,2403,143,133
C,C,True,4.476345699978992,2306,198,188
D,D,True,16.47654290002538,2657,673,663
D,D,True,2.582096400030423,2272,82,72
C,C,True,3.5225573999923654,2461,99,89
A,A,True,13.525854700012133,2627,522,512
A,A,True,5.321006499987561,2484,194,184
D,D,True,3.286216599983163,2428,124,114
D,D,True,2.1856829000171274,2066,72,62
A,A,True,7.0401504000183195,2475,303,293
C,C,True,5.329746400006115,2210,198,188
C,C,True,3.1788786000106484,2250,105,95
C,C,True,4.766667599964421,2430,189,179
D,D,True,3.3214295000070706,2345,124,114
B,C,True,4.470165500009898,2227,178,168
C,C,True,2.5987652999465354,2412,85,75
C,C,True,1.6962111999746412,2214,46,36
B,B,True,3.735392900009174,2776,155,145
D,D,True,8.925225400016643,3025,374,364
A,A,True,3.3236212999909185,2203,148,138
D,A,True,5.408265499980189,2458,228,218
D,D,True,1.763977500027977,2014,55,45
D,C,True,3.8745129999588244,2340,138,128
