answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,7.730737899895757,3123,1,744
A,A,True,12.183699199929833,3864,1,1304
D,C,True,8.962440799921751,3374,1,958
C,C,True,9.279583799885586,3455,1,936
A,A,True,10.6737645000685,3477,1,1142
D,D,True,9.303031499963254,3380,1,1048
B,B,True,10.171294699888676,3204,1,936
C,C,True,12.066465500043705,3284,1,973
A,A,True,8.948885699966922,3372,1,984
B,B,True,8.127986699808389,3290,1,915
D,D,True,7.764522100100294,3259,1,818
D,D,True,10.38472449989058,3438,1,1141
A,A,True,10.418627599952742,3751,1,1191
B,B,True,8.506742700003088,3267,1,919
D,D,True,10.110198900103569,3479,1,1060
B,B,True,8.750525900162756,3346,1,978
D,D,True,11.617979500209913,3698,1,1277
A,A,True,15.246907400200143,4249,1,1755
C,C,True,11.278041900135577,3744,1,1254
B,B,True,9.845453599933535,3574,1,1055
D,D,True,8.660446499940008,3541,1,899
A,D,True,8.551737899892032,3187,1,910
D,D,True,9.6160953999497,3711,1,1021
D,D,True,18.7075398999732,4948,1,2168
C,C,True,9.435556099982932,3529,1,1059
D,D,True,9.009567299857736,3477,1,985
A,A,True,14.782628099899739,4322,1,1714
B,B,True,17.183724399888888,4727,1,1969
C,C,True,20.68826760002412,4959,1,2549
B,B,True,9.626539799850434,3370,1,1049
B,B,True,14.295000900048763,4181,1,1560
B,B,True,11.477948599960655,3731,1,1267
D,D,True,11.12522320006974,3749,1,1223
C,C,True,10.74494030000642,3753,1,1229
A,A,True,14.25045429985039,3909,1,1266
B,B,True,23.983936900040135,5695,1,2963
C,C,True,11.638676899950951,3993,1,1288
C,D,True,15.49518289999105,4298,1,1772
C,C,True,13.236279600067064,4326,1,1478
B,A,True,16.803015099838376,4617,1,1983
D,D,True,13.878985699964687,4910,1,1560
C,C,True,11.686592899961397,3573,1,1154
B,B,True,11.54232560005039,3741,1,1321
C,C,True,12.37363149994053,3920,1,1291
B,B,True,11.316340700024739,4019,1,1258
C,C,True,10.988766100024804,3831,1,1277
C,C,True,11.472907199990004,3954,1,1337
C,B,True,13.86066269990988,4085,1,1345
A,D,True,16.46716899983585,4029,1,1794
C,B,True,11.892781500006095,3746,1,1422
C,B,True,8.525205199839547,3284,1,955
A,A,True,11.161206499906257,3688,1,1174
C,C,True,11.794615200022236,3752,1,1206
B,B,True,14.547898800112307,3874,1,1242
C,C,True,9.482634499901906,3586,1,1040
C,A,True,14.179996900027618,4156,1,1502
B,B,True,11.623086200095713,3868,1,1175
C,C,True,12.274444000096992,3463,1,1022
A,A,True,9.683031900087371,3237,1,955
A,A,True,8.813518200069666,3324,1,856
D,D,True,8.94530969997868,3477,1,1014
D,D,True,10.816652399953455,3686,1,1220
C,B,True,12.423921099863946,3607,1,1158
C,C,True,10.949663799954578,3936,1,1248
B,B,True,12.149927399819717,3712,1,1287
B,A,True,66.23677080008201,9974,1,7479
A,D,True,12.648186499951407,4007,1,1272
B,B,True,10.93359600007534,3398,1,1074
B,B,True,11.317727299872786,3965,1,1198
C,C,True,12.234341399976984,3973,1,1259
C,C,True,15.254313699901104,4454,1,1699
B,B,True,15.24421210004948,4143,1,1613
C,C,True,11.006356799975038,3749,1,1160
B,C,True,30.358994600130245,6165,1,3389
C,C,True,11.114364099921659,3861,1,1179
C,C,True,14.072502000024542,4202,1,1707
D,D,True,11.181438899831846,3430,1,1077
D,D,True,12.247617400018498,3844,1,1268
C,C,True,11.163248099852353,4003,1,1200
A,A,True,56.500809899996966,8832,1,6349
A,A,True,13.514841800089926,4160,1,1492
D,D,True,11.495604600058869,3940,1,1209
D,A,True,13.089463300071657,3613,1,1248
A,A,True,12.663776200031862,4006,1,1429
C,C,True,8.574548200005665,3397,1,1005
C,C,True,11.035696499980986,3768,1,1243
C,C,True,11.126401299843565,3822,1,1179
D,D,True,9.575474699959159,3704,1,1088
B,B,True,9.065136200049892,3489,1,1043
C,C,True,10.087645000079647,3886,1,1141
C,C,True,8.328948799986392,3446,1,870
B,A,True,17.44911119993776,4899,1,1827
D,A,True,37.32083549979143,7656,1,4582
A,A,True,12.886489599943161,3521,1,1103
D,A,True,10.634032299974933,3960,1,1331
D,D,True,10.138860800070688,3501,1,1171
D,D,True,10.960818600142375,3844,1,1243
B,B,True,12.917837499873713,4271,1,1421
D,D,True,13.31121960002929,4120,1,1548
B,B,True,7.91079769982025,3322,1,900
A,B,True,10.007153399987146,3607,1,1079
A,A,True,10.76509330002591,3924,1,1293
A,A,True,11.919885999988765,4174,1,1417
C,D,True,10.51266389992088,3740,1,1232
B,B,True,12.268075300147757,4100,1,1455
B,B,True,11.070992200169712,3722,1,1230
A,A,True,11.751565400045365,3978,1,1365
D,A,True,14.618205399950966,4467,1,1734
D,D,True,14.731382899917662,4176,1,1442
A,D,True,14.80487999995239,4131,1,1728
B,B,True,19.94387049996294,4664,1,2318
B,B,True,11.70946540008299,3673,1,1187
A,A,True,11.137257799971849,3883,1,1307
B,B,True,12.606817900203168,4057,1,1488
D,C,True,11.38028490007855,3942,1,1282
C,C,True,10.583606699947268,4047,1,1221
B,B,True,10.15048720012419,3817,1,1132
B,D,True,10.76696619996801,3865,1,1256
B,D,True,17.581842000130564,4433,1,2089
C,C,True,13.929805299965665,4273,1,1570
C,C,True,11.197126199956983,3734,1,1265
D,A,True,13.426885999972,3744,1,1256
B,B,True,11.165708299959078,3848,1,1331
C,C,True,12.505724299931899,3865,1,1234
A,A,True,7.073878899915144,3082,1,698
B,B,True,13.129111300222576,4171,1,1462
A,A,True,11.908632699865848,4270,1,1399
A,A,True,14.495742700062692,4838,1,1796
C,C,True,12.335654200054705,3788,1,981
A,A.,True,10.302225100109354,3906,2,1236
D,D,True,11.525610100012273,4162,1,1350
C,C,True,12.421658699866384,4330,1,1432
B,B,True,7.994389599887654,3424,1,940
D,D,True,17.264718200080097,5137,1,2013
D,B,True,11.89844199991785,4060,1,1413
B,D,True,9.519879099912941,3919,1,1154
C,C,True,11.804961600108072,4033,1,1499
C,C,True,9.164828200126067,3600,1,1050
C,D,True,12.466486199991778,4377,1,1579
B,B,True,10.050443900050595,3623,1,1088
C,C,True,11.432267700089142,3968,1,1328
D,D,True,15.132313300156966,4594,1,1909
C,C,True,9.91856799996458,3745,1,1161
A,A,True,9.668936399975792,3732,1,1118
B,B,True,11.660152700031176,4160,1,1391
B,B,True,11.373021499952301,3735,1,1184
B,D,True,14.951341500040144,4377,1,1648
C,C,True,17.49957549991086,4903,1,2172
A,A,True,9.5577132999897,3409,1,1079
B,B,True,21.41082590003498,5295,1,2727
C,D,True,14.066462400136515,4070,1,1560
B,B,True,11.966273800004274,3974,1,1380
D,D,True,14.93445109995082,4835,1,1820
B,B,True,13.221926500089467,3996,1,1364
A,A,True,11.25845029996708,3831,1,1217
C,A,True,15.95054809981957,5067,1,1930
B,B,True,13.191511899931356,4151,1,1556
C,C,True,11.554613000014797,3710,1,1252
C,D,True,9.97431610012427,3489,1,1097
C,C,True,13.855451399926096,3789,1,1366
A,A,True,11.587329400004819,4028,1,1370
B,B,True,11.886677300091833,3799,1,1374
B,B,True,9.662314800079912,3709,1,1095
D,D.,True,10.086190199945122,3847,2,1150
D,D,True,13.977540000109002,4031,1,1645
D,B,True,10.40572450007312,3536,1,1050
A,D,True,12.599076600046828,4067,1,1502
D,D,True,13.647361799841747,4580,1,1713
C,C,True,10.467401900095865,3672,1,1200
B,B,True,16.83520959992893,5331,1,2046
D,D,True,17.43124380009249,5282,1,2144
D,D,True,13.265879500191659,4319,1,1551
C,C,True,11.773310599848628,3722,1,1384
D,D,True,10.356170400045812,3807,1,1191
D,B,True,13.440563699929044,4046,1,1502
B,B,True,13.583667200058699,4290,1,1505
C,C,True,12.501677900087088,4271,1,1251
C,C,True,11.526968599995598,3638,1,1229
C,C,True,9.973828200018033,3771,1,1115
A,A,True,12.336762299994007,4057,1,1475
D,D,True,15.023849900113419,4618,1,1815
D,B,True,15.529592600185424,4401,1,1630
B,B,True,9.714109900174662,3302,1,1009
