answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,3.4157860999985132,2912,1.0,533
A,A,True,9.589503800001694,4058,1.0,1498
D,D,True,21.1284235000021,6249,1.0,3833
C,C,True,3.381690800000797,3059,1.0,540
A,A,True,2.8896893999990425,2742,,408
D,D,True,3.149429000000964,2828,1.0,496
B,B,True,2.9603674999998475,2759,1.0,491
C,C,True,3.240134900002886,2822,1.0,511
A,A,True,2.683069400001841,2764,1.0,376
B,B,True,2.675187200002256,2747,1.0,372
D,C,True,3.383694700001797,2980,1.0,539
D,D,True,3.9172810000018217,2923,1.0,626
A,A,True,5.57832789999884,3439,1.0,879
B,B,True,2.7458125000011933,2770,1.0,422
D,D,True,5.047999200000049,3052,1.0,633
B,B,True,2.8786051999995834,2828,1.0,460
D,D,True,6.731247599997005,3472,1.0,1051
A,A,True,4.238940200000798,3152,1.0,658
C,C,True,4.138973600001918,3231,1.0,741
B,B,True,6.527619700002106,3519,1.0,1000
D,D,True,3.9061035999984597,3236,1.0,594
A,A,True,7.936187600000267,3579,1.0,1302
D,D,True,3.0505335999987437,3106,1.0,416
D,D,True,4.269982400001027,3416,1.0,636
C,C,True,3.9060149999968417,3087,1.0,617
D,D,True,4.4149408000012045,3210,1.0,718
A,A,True,3.3305151000022306,3106,,499
B,B,True,3.858670900001016,3324,1.0,566
C,C,True,4.824226000000635,3165,1.0,755
B,B,True,3.4805599999999686,2851,1.0,530
B,B,True,3.0503747000002477,3055,1.0,434
B,C,True,5.3497831000022416,3296,,833
D,D,True,4.060214699999051,3159,1.0,633
C,C,True,3.2523612000004505,3020,,497
A,A,True,4.126075500000297,3251,1.0,608
B,B,True,4.754847000000154,3456,1.0,724
C,C,True,2.6611279000026116,3053,1.0,348
C,C,True,16.154639000000316,5171,1.0,2645
C,C,True,3.2585278999977163,3326,1.0,478
B,B,True,4.130491500000062,3232,1.0,598
D,D,True,4.572505600001023,4047,1.0,697
C,C,True,4.001051499999448,3062,1.0,643
B,B,True,3.3891588999977103,2924,,505
C,C,True,4.538389699999243,3372,,744
B,B,True,4.07964340000035,3358,1.0,597
C,C,True,6.516539200001716,3607,1.0,1053
C,C,True,2.8118896999985736,2999,1.0,382
C,B,True,5.061268800000107,3488,1.0,748
A,D,True,3.51185919999989,2768,1.0,533
C,C,True,7.29218679999758,3519,1.0,1195
C,B,True,28.154689499999222,7175,,4847
A,A,True,4.072481000002881,3184,1.0,670
C,C,True,2.821371000001818,2933,,388
B,B,True,2.6644698999989487,3030,1.0,398
C,B,True,15.771013199999288,5342,1.0,2796
C,C,True,13.955464399998164,4945,1.0,2291
B,B,True,3.1856761000017286,3197,1.0,504
C,C,True,2.7583636000017577,2830,,390
A,A,True,3.028850099999545,2715,1.0,433
A,A,True,4.278280400001677,3089,1.0,621
D,D,True,4.106137599999784,3148,1.0,685
D,D,True,4.0356262999994215,3055,1.0,589
C,B,True,5.455129000001762,3297,,849
C,C,True,4.464804000002914,3384,1.0,696
B,B,True,3.1443708000006154,2894,1.0,469
B,C,True,25.584032599999773,6816,1.0,4321
A,A,True,5.987340799998492,3714,1.0,979
B,B,True,3.7622154999990016,2922,1.0,598
B,B,True,3.7853451000009954,3293,1.0,526
C,C,True,3.673847100002604,3270,,557
C,C,True,3.3357803000035346,3192,1.0,437
B,B,True,15.109844900001917,5227,1.0,2697
C,C,True,3.3846354999986943,3036,1.0,447
B,A,True,19.874765399999887,6132,1.0,3356
C,C,True,6.227805999998964,3675,1.0,993
C,C,True,4.2650237000016205,3232,1.0,737
D,D,True,11.168711900001654,4043,1.0,1690
D,D,True,3.4644298999992316,3099,1.0,523
C,C,True,3.617733399998542,3327,1.0,524
A,A,True,11.090720899999724,4355,,1873
A,A,True,4.790410399997199,3486,,819
D,D,True,3.5163457000016933,3281,1.0,550
D,D,True,2.5969256999997015,2697,1.0,332
A,A,True,5.659008899998298,3510,1.0,933
C,C,True,4.1923500999982934,3083,1.0,691
C,C,True,4.838571799999045,3322,1.0,797
C,C,True,4.904061000001093,3434,1.0,791
D,D,True,2.0721620000003895,2870,1.0,254
B,B,True,2.3793946000005235,2763,1.0,317
C,C,True,2.364196399998036,3042,1.0,297
C,C,True,3.4924879999998666,3106,1.0,530
B,A,True,14.516006599998946,5409,1.0,2337
D,D,True,8.21195589999843,4470,1.0,1396
A,A,True,3.2403363000012178,2919,1.0,501
D,A,True,3.877359799997066,3238,1.0,609
D,D,True,30.600610899997264,7497,1.0,5167
D,D,True,3.1347556000000623,3023,1.0,422
B,B,True,2.8673390000003565,3201,1.0,351
D,C,True,24.721318900003098,6767,1.0,4195
B,B,True,3.7424996999980067,2975,1.0,553
A,B,True,8.332091000000219,3857,1.0,1329
A,A,True,6.572752000000037,3706,1.0,1075
A,A,True,3.3287092999999004,3223,1.0,466
C,C,True,4.460916799998813,3217,1.0,709
B,B,True,5.1594093999992765,3477,,833
B,B,True,7.485839999997552,3587,1.0,1095
A,A,True,3.405088800001977,3106,1.0,493
D,A,True,10.494792900000903,4380,1.0,1647
D,D,True,3.4650349999974424,3195,1.0,461
A,A,True,3.9026196999984677,3011,1.0,608
B,B,True,4.0428849999989325,2944,1.0,598
B,B,True,4.145091599999432,3170,1.0,684
A,A,True,5.005485399997269,3439,1.0,863
B,B,True,4.091862900000706,3185,1.0,616
D,C,True,40.51931429999968,9614,1.0,6954
C,C,True,4.177706999998918,3421,1.0,595
B,B,True,3.690821899999719,3232,1.0,547
B,D,True,4.3477347000007285,3287,1.0,678
B,B,True,3.659920099998999,2911,1.0,567
C,C,True,3.127530800000386,3147,1.0,444
C,C,True,5.63846360000025,3355,1.0,886
D,A,True,3.0330517000002146,2934,1.0,446
B,B,True,3.589548299998569,3094,1.0,577
C,C,True,2.6753432000004977,2989,1.0,358
A,A,True,3.2939662000026146,2893,1.0,509
B,B,True,2.8156896000000415,3096,,388
A,A,True,2.9690067999981693,3260,,390
A,A,True,13.857453100001294,5430,1.0,2388
C,C,True,4.293444800001453,3454,1.0,647
A,A,True,3.156986100002541,3101,1.0,432
D,D,True,3.6432167000020854,3333,1.0,521
C,C,True,3.109432700002799,3290,1.0,392
B,B,True,4.350223500001448,3160,1.0,676
D,D,True,2.268937200002256,3400,1.0,276
D,B,True,19.58689200000299,5953,1.0,3306
B,D,True,2.6214881999985664,3100,1.0,335
C,C,True,31.49114990000089,8319,1.0,5785
C,C,True,3.025031700002728,2967,1.0,417
C,D,True,27.38977800000066,7607,1.0,4809
B,B,True,3.8407149000013305,3121,1.0,586
C,C,True,3.430547799998749,3097,1.0,457
D,D,True,6.846268000001146,3821,1.0,1136
C,C,True,2.997448300000542,3018,1.0,434
A,A,True,2.999637300003087,3082,1.0,468
B,B,True,4.676206199997978,3455,1.0,686
B,B,True,4.819093999998586,3254,1.0,703
B,B,True,10.161607199999708,4370,1.0,1641
C,C,True,8.052008999999089,4113,1.0,1382
A,A,True,3.3467072999992524,2856,1.0,526
B,D,True,20.27346519999992,6100,1.0,3532
C,C,True,8.8629875000006,3886,1.0,1376
B,B,True,3.703863900002034,3107,1.0,513
D,D,True,5.501662000002398,3884,1.0,869
B,B,True,3.1588808999986213,3087,1.0,455
A,A,True,3.644191499999579,3187,1.0,573
C,A,True,25.13680150000073,7442,1.0,4305
B,B,True,4.32568970000284,3226,1.0,631
C,C,True,3.9629535999993095,3047,1.0,589
C,D,True,5.395746199999849,3235,1.0,843
C,C,True,10.72911060000115,4163,,1741
A,A,True,4.347378200000094,3312,1.0,654
B,B,True,4.835620600002585,3235,1.0,810
B,B,True,3.10759440000038,3081,1.0,467
D,D,True,5.349767600000632,3624,1.0,928
D,A,True,13.578330500000448,4675,1.0,2289
D,A,True,24.815358300002117,6631,1.0,4145
A,A,True,9.69195149999723,4236,1.0,1671
D,D,True,2.6968197999995027,3191,1.0,324
