answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,3.5287149000032514,2157,113,103
A,A,True,5.120384400001058,2445,245,235
D,C.,True,4.352899599998636,2234,150,139
C,C.,True,2.3167778000024555,2233,53,42
A,A.,True,3.638117599999532,2149,122,111
D,D,True,8.566362699999445,2520,499,489
B,B.,True,2.436688400001003,2086,122,111
C,C.,True,3.0161398999989615,2098,111,100
A,A,True,2.8530816999991657,2117,56,46
B,B.,True,2.886865600001329,2101,44,33
D,D.,True,2.990582999998878,2192,85,74
D,D.,True,2.1503741999986232,2035,55,44
A,A,True,8.692003100000875,2611,397,387
B,B.,True,2.929578900002525,2133,101,90
D,D.,True,4.108659699999407,2248,157,146
B,B,True,2.804695400001947,2115,81,71
D,D.,True,4.160485000000335,2232,140,129
A,A.,True,6.847060600000987,2485,308,296
C,C,True,3.054685099999915,2248,92,82
B,B.,True,3.1875660000005155,2249,72,61
D,D.,True,4.283055799998692,2470,167,156
A,B.,True,4.758615900002042,2192,220,209
D,D.,True,4.6543648000006215,2509,172,161
D,D.,True,8.833405200002744,2577,167,156
C,C,True,2.8211994000012055,2240,97,87
D,D.,True,3.7980021000003035,2278,126,115
A,A,True,5.128551699999662,2458,225,215
B,B,True,4.210100099997362,2565,173,163
C,C.,True,7.821847700000944,2538,445,434
B,B,True,2.9925064999988535,2130,119,109
B,B.,True,2.3287939999972878,2368,96,85
B,C.,True,6.498943499998859,2512,392,381
D,D.,True,3.8972763999991002,2358,150,139
C,C,True,3.1140319000005547,2292,105,95
A,A,True,3.2217995999999403,2372,90,80
B,B,True,3.968537799999467,2554,179,169
C,C.,True,3.2550680999993347,2454,112,101
C,D.,True,4.6925478000011935,2426,223,212
C,C,True,2.7500340000005963,2601,122,112
B,B.,True,3.795565499996883,2434,155,144
D,D,True,2.9971645000005083,3033,123,113
C,C.,True,5.374030499999208,2356,265,254
B,B.,True,1.8449942000006558,2152,73,62
C,B.,True,3.3774957999994513,2395,120,109
B,B.,True,5.573811099999148,2623,244,233
C,A,True,3.732260500000848,2345,120,110
C,C.,True,3.6276822999971046,2408,132,121
C,B.,True,5.5979985000012675,2558,203,192
A,C.,True,12.16947440000149,2654,718,707
C,C,True,6.320602099996904,2314,322,312
C,B.,True,4.050377799998387,2169,161,150
A,A.,True,2.721618399998988,2305,95,84
C,C.,True,3.7089705999969738,2359,152,141
B,B.,True,2.970544700001483,2357,82,71
C,B.,True,4.447332399999141,2452,235,224
C,A,True,5.270391800000652,2533,256,246
B,B,True,2.6157656999967003,2432,83,73
C,C.,True,6.212665499999275,2453,345,334
A,A,True,2.0718421999990824,2070,99,89
A,B,True,5.784227700001793,2476,343,333
D,D,True,3.0782394999987446,2228,101,91
D,D.,True,2.882460799999535,2238,122,111
C,B.,True,4.127860699998564,2277,157,146
C,C,True,4.219854300001316,2468,136,126
B,B.,True,5.598170200002642,2250,159,148
B,B,True,5.669861399997899,2465,289,279
A,D,True,7.821522800000821,2727,358,348
B,B,True,3.797672799999418,2196,177,167
B,B.,True,2.3828013999991526,2476,83,72
C,C,True,4.392013599997881,2554,199,189
C,C,True,6.776267599998391,2620,253,243
B,D,True,13.88490929999898,2947,743,733
C,C.,True,3.643249699998705,2351,109,98
B,C.,True,7.211862699998164,2689,302,291
C,C.,True,4.918772800003353,2600,291,280
C,C.,True,6.690531699998246,2447,290,279
D,D.,True,7.244896100000915,2325,292,281
D,D,True,2.104676599999948,2310,71,61
C,C.,True,2.825147999999899,2502,91,80
A,A.,True,4.9721624000012525,2412,258,247
A,B,True,6.250763200001529,2592,253,243
D,D,True,3.2931449999996403,2496,143,133
D,D.,True,4.33547499999986,2190,147,136
A,A,True,3.6351493000001938,2404,183,173
C,C,True,3.7101665000009234,2214,153,143
C,C,True,3.169959499999095,2291,97,87
C,C.,True,5.09861649999948,2495,205,194
D,D,True,2.689917499999865,2372,102,92
B,C,True,2.892991799999436,2214,116,106
C,C.,True,3.005952499999694,2465,89,78
C,C.,True,2.0568886999972165,2289,72,61
B,B.,True,3.727732899998955,2796,126,115
D,A,True,3.54313959999854,2836,136,126
A,A,True,2.6906971000025806,2249,145,135
D,A.,True,3.788902099997358,2490,211,200
D,D,True,2.8359521999991557,2137,129,119
