answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D.,True,4.6802984001114964,3187,2,807
A,A.,True,5.673642399953678,3512,2,951
D,D,True,4.291765599977225,3113,1,697
C,C,True,3.842509200097993,3106,1,587
A,A.,True,3.9471376999281347,2917,2,581
D,D.,True,4.853878000052646,3065,2,732
B,B.,True,3.7346045000012964,2788,2,519
C,C.,True,4.9815967998001724,3062,2,750
A,A.,True,4.205348600167781,2976,2,587
B,B.,True,5.117301999824122,2969,2,593
D,D.,True,12.568879599915817,4428,2,1986
D,D.,True,4.194489700021222,2919,2,621
A,A.,True,6.045342700090259,3648,2,1087
B,B.,True,4.910460500046611,3089,2,740
D,D.,True,5.6494366999249905,3327,2,907
B,B.,True,4.6345790000632405,2961,2,592
D,C,True,7.455170500092208,3657,1,1236
A,A.,True,5.461668000090867,3443,2,948
C,C.,True,5.417590599972755,3434,2,943
B,B.,True,5.744861300103366,3182,2,662
D,D.,True,5.149909199913964,3478,2,835
A,A.,True,4.556041999952868,2960,2,682
D,D.,True,6.053129400126636,3689,2,998
D,B.,True,7.192110599949956,3987,2,1206
C,C.,True,5.070661199977621,3246,2,775
D,D.,True,6.465825199848041,3643,2,1150
A,A.,True,6.218117299955338,3800,2,1191
B,B.,True,6.369418499991298,3778,2,1019
C,C.,True,7.76568720000796,3752,2,1341
B,B.,True,4.4456424000673,3017,2,695
B,B.,True,6.102614999981597,3762,2,1140
B,B.,True,8.752539000008255,3962,2,1497
D,D.,True,5.96513759996742,3484,2,957
C,C.,True,4.010924699949101,3104,2,579
A,A.,True,5.94428399996832,3646,2,1002
B,A.,True,7.292066399939358,4010,2,1277
C,C.,True,5.641136399935931,3738,2,1032
C,D,True,6.3959516999311745,3648,1,1122
C,C.,True,6.282641199883074,3952,2,1103
B,B,True,8.174754500156268,4006,1,1372
D,D.,True,5.632190499920398,4321,2,970
C,C.,True,5.2694509997963905,3246,2,826
B,B.,True,5.039627799997106,3189,2,768
C,B.,True,11.190461299847811,4597,2,1967
B,B.,True,7.443835200043395,3967,2,1205
C,A.,True,5.842039000010118,3414,2,859
C,C.,True,5.989926399895921,3581,2,963
C,B.,True,5.106974399881437,3429,2,688
A,A,True,4.419107099995017,2913,1,678
C,C.,True,5.101754599949345,3206,2,881
C,C.,True,5.09796870010905,3252,2,922
A,A.,True,5.454619399970397,3497,2,982
C,C.,True,4.8116240000817925,3460,2,913
B,B.,True,5.394970999797806,3636,2,1003
C,C.,True,4.743891399819404,3426,2,879
C,A.,True,7.509755800012499,3950,2,1295
B,B.,True,4.7262685999739915,3592,2,898
C,C.,True,4.13760960008949,3230,2,788
A,A.,True,5.606549900025129,2994,2,711
A,A.,True,3.7147144000045955,3068,2,599
D,D.,True,5.0900216000154614,3310,2,846
D,D.,True,4.404083900153637,3299,2,832
C,B.,True,8.824522399809211,4181,2,1731
C,C.,True,5.609125099843368,3774,2,1085
B,B.,True,3.9593161998782307,3116,2,690
B,D.,True,17.43178979982622,5813,2,3317
A,D.,True,5.481892099836841,3715,2,979
B,B.,True,4.51991800009273,3110,2,785
B,B.,True,5.285549500025809,3642,2,874
C,C,True,5.573819699930027,3702,1,988
C,B.,True,5.5020699999295175,3833,2,1077
B,B.,True,6.261452700011432,3728,2,1197
C,C.,True,5.134877200005576,3547,2,957
B,C.,True,6.224367100046948,3830,2,1053
C,C.,True,5.706159899942577,3728,2,1045
C,C,True,5.051749400096014,3484,1,989
D,C.,True,4.684618100058287,3206,2,852
D,D.,True,4.955727400025353,3486,2,909
C,C.,True,5.2571183000691235,3838,2,1034
A,C.,True,7.251497499877587,3835,2,1351
A,A.,True,4.3353609999176115,3494,2,825
D,D,True,6.85995370009914,3965,1,1234
D,D.,True,5.916828599991277,3098,2,732
A,C.,True,6.25938589987345,3679,2,1101
C,C.,True,4.290372499963269,3177,2,784
C,C.,True,4.937599400058389,3406,2,880
C,C.,True,5.696084000170231,3665,2,1021
D,D.,True,5.24351039994508,3624,2,1007
B,B.,True,4.042804999975488,3216,2,769
C,C.,True,4.083053800044581,3503,2,757
C,C.,True,3.976875300053507,3296,2,719
B,B.,True,6.75260840007104,4437,2,1364
D,D.,True,8.64991239993833,4833,2,1758
A,A,True,4.401809599949047,3232,1,814
D,A.,True,5.16683330014348,3684,2,1054
D,D.,True,3.9391831001266837,3041,2,710
D,D.,True,4.990361899835989,3602,2,1000
B,B.,True,5.629383299965411,3996,2,1145
D,B.,True,7.2065989000257105,4000,2,1427
B,B.,True,4.389746100176126,3211,2,788
A,B.,True,6.172493300167844,3716,2,1187
A,A.,True,5.808798199985176,3737,2,1105
A,A.,True,5.991799199953675,3950,2,1192
C,A,True,6.172687600133941,3708,1,1200
B,B.,True,6.1031859999056906,3789,2,1143
B,B.,True,4.782041599974036,3348,2,855
A,A.,True,5.055854500038549,3602,2,988
D,A.,True,6.383185900049284,3903,2,1169
D,D.,True,5.569950399920344,3776,2,1041
A,A.,True,4.380337500013411,3243,2,839
B,B.,True,5.822160599986091,3324,2,977
B,B.,True,4.7884394999127835,3375,2,888
A,A.,True,6.777785700047389,3888,2,1311
B,B.,True,6.126283399993554,3705,2,1135
D,D.,True,5.558134299935773,3659,2,998
C,C.,True,5.545350499916822,3820,2,993
B,B.,True,5.575113600119948,3748,2,1062
B,D.,True,5.189952299930155,3612,2,1002
B,B.,True,3.117204000009224,2859,2,514
C,C.,True,6.049012100091204,3807,2,1103
C,C.,True,5.196012899978086,3396,2,926
D,A.,True,4.330211900174618,3301,2,812
B,B.,True,5.456560800084844,3510,2,992
C,C.,True,8.175699299899861,4022,2,1390
A,A,True,3.223511300049722,2915,1,531
B,B.,True,5.669195800088346,3625,2,915
A,A.,True,7.2253209999762475,4207,2,1335
A,A.,True,5.616465999977663,4207,2,1164
C,C.,True,5.415823699906468,3636,2,828
A,A.,True,4.237680800026283,3426,2,756
D,D.,True,10.400800099829212,4647,2,1834
C,C.,True,6.613446699921042,4158,2,1259
B,B.,True,3.6619585999287665,3148,2,663
D,A.,True,8.197427300037816,4768,2,1643
D,D.,True,8.488752500154078,4296,2,1648
B,D.,True,5.094007599866018,3767,2,1001
C,D.,True,5.7249553999863565,3663,2,1128
C,C.,True,4.582296299980953,3378,2,827
C,D,True,5.466993399895728,3875,1,1077
B,B.,True,5.068325900007039,3370,2,834
C,C.,True,6.093561099842191,3861,2,1220
D,C.,True,5.964679999975488,3820,2,1134
C,C.,True,4.891333099920303,3570,2,985
A,A,True,3.981372900074348,3302,1,688
B,B.,True,6.40596600016579,3944,2,1174
B,B,True,5.570645000087097,3477,1,926
B,B.,True,6.198318199953064,3949,2,1219
C,D.,True,7.290390899870545,3989,2,1257
A,A.,True,3.7489265999756753,2960,2,629
B,B.,True,6.507525699911639,3832,2,1263
C,C.,True,5.289108199998736,3402,2,891
B,B.,True,5.198823899962008,3583,2,988
D,D.,True,7.912985099945217,4633,2,1617
B,B.,True,5.782120099989697,3721,2,1088
A,A.,True,5.470751899993047,3545,2,930
C,C.,True,8.87536279996857,4910,2,1772
B,B.,True,6.715117200044915,3761,2,1165
C,C.,True,5.519658700097352,3485,2,1026
C,D.,True,4.375151700107381,3143,2,750
C,C.,True,6.274191400036216,3546,2,1122
A,A.,True,7.809823900228366,4216,2,1557
B,B.,True,4.773437299998477,3297,2,871
B,B.,True,4.383956199977547,3383,2,768
D,D.,True,4.8575273000169545,3607,2,910
D,C.,True,4.747191899921745,3157,2,770
D,B.,True,4.4841094999574125,3208,2,721
A,A,True,7.750866200076416,3961,1,1396
D,D,True,4.357278999872506,3658,1,791
C,C.,True,5.232982800109312,3417,2,944
B,B.,True,5.498065599938855,4222,2,936
D,D.,True,7.3059048999566585,4632,2,1493
D,D.,True,6.330493800109252,3969,2,1200
C,C.,True,4.406662199879065,3076,2,737
D,D.,True,6.375878599938005,3611,2,994
D,B.,True,5.343968999804929,3412,2,867
B,D.,True,7.417528500081971,4221,2,1435
C,A.,True,5.565730400150642,3883,2,862
C,C.,True,5.753384199924767,3448,2,1038
C,C.,True,5.838735699886456,3769,2,1112
A,A.,True,4.96206930000335,3512,2,929
D,D.,True,7.548433199990541,4094,2,1290
D,D,True,6.508776499889791,3946,1,1175
B,B.,True,4.055613399948925,2935,2,641
