,Science,Literacy,Creative arts,Maths,Social studies,Overall
gemma-3-27b,29.508196721311474,35.76158940397351,36.054421768707485,26.190476190476193,30.0,31.659693165969315
gemma-3-4b-it,21.85792349726776,33.77483443708609,22.448979591836736,27.77777777777778,29.09090909090909,26.638772663877262
o4-mini-2025-04-16,39.89071038251366,42.384105960264904,44.89795918367347,43.65079365079365,43.63636363636363,42.67782426778243
qwen-3-32b,24.043715846994534,26.490066225165563,26.53061224489796,30.952380952380953,20.909090909090907,25.80195258019526
fw-deepseek-r1-0528,37.15846994535519,46.35761589403973,42.857142857142854,40.476190476190474,32.72727272727273,40.1673640167364
gemini-2.5-pro-preview-06-05,74.31693989071039,64.90066225165563,63.26530612244898,61.111111111111114,57.27272727272727,65.13249651324965
gpt-5-2025-08-07-medium,64.48087431693989,54.966887417218544,57.82312925170068,54.761904761904766,57.27272727272727,58.29846582984658
claude-sonnet-4-5-20250929,37.15846994535519,42.384105960264904,47.61904761904761,42.857142857142854,41.81818181818181,42.11994421199442
gemini-2.5-flash-preview-09-2025,68.85245901639344,56.95364238410596,57.82312925170068,59.523809523809526,65.45454545454545,61.92468619246861
gemini-2.5-flash-lite-preview-09-2025,37.15846994535519,41.05960264900662,45.57823129251701,31.746031746031743,35.45454545454545,38.49372384937239
