,Science,Literacy,Creative arts,Maths,Social studies,Overall
gemma-3-27b,27.027027027027028,44.73684210526316,30.0,17.5,26.666666666666668,29.18918918918919
gemma-3-4b-it,18.91891891891892,23.684210526315788,17.5,42.5,20.0,24.864864864864867
o4-mini-2025-04-16,40.54054054054054,52.63157894736842,42.5,47.5,53.333333333333336,47.02702702702703
qwen-3-32b,21.62162162162162,36.84210526315789,32.5,25.0,23.333333333333332,28.10810810810811
fw-deepseek-r1-0528,54.054054054054056,36.84210526315789,45.0,42.5,53.333333333333336,45.94594594594595
gemini-2.5-pro-preview-06-05,67.56756756756756,57.89473684210527,62.5,70.0,66.66666666666666,64.86486486486487
gpt-5-2025-08-07-medium,64.86486486486487,50.0,65.0,52.5,50.0,56.75675675675676
claude-sonnet-4-5-20250929,48.64864864864865,36.84210526315789,47.5,47.5,60.0,47.56756756756757
gemini-2.5-flash-preview-09-2025,75.67567567567568,63.1578947368421,67.5,65.0,50.0,64.86486486486487
gemini-2.5-flash-lite-preview-09-2025,43.24324324324324,39.473684210526315,52.5,32.5,40.0,41.62162162162162
