,Science,Literacy,Creative arts,Maths,Social studies,Technology,General,Overall
gemma-3-27b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma-3-4b-it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o4-mini-2025-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen-3-32b,2.7027027027027026,0.0,0.0,2.5,0.0,0.0,0.0,0.851063829787234
fw-deepseek-r1-0528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude-sonnet-4-5-20250929,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.425531914893617
gemini-2.5-flash-lite-preview-09-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemini-3-pro-preview,0.0,0.0,0.0,0.0,0.0,3.225806451612903,0.0,0.425531914893617
gpt-5.2-2025-12-11-medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemini-3-flash-preview,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
