,Science,Literacy,Creative arts,Maths,Social studies,Technology,General,Overall
gemma-3-27b,29.72972972972973,42.10526315789473,22.5,27.500000000000004,23.333333333333332,29.03225806451613,47.368421052631575,30.638297872340424
gemma-3-4b-it,40.54054054054054,28.947368421052634,17.5,45.0,26.666666666666668,16.129032258064516,26.31578947368421,29.361702127659573
o4-mini-2025-04-16,37.83783783783784,28.947368421052634,35.0,47.5,40.0,35.483870967741936,47.368421052631575,38.297872340425535
qwen-3-32b,21.62162162162162,23.684210526315788,20.0,32.5,36.666666666666664,16.129032258064516,42.10526315789473,26.382978723404253
fw-deepseek-r1-0528,51.35135135135135,36.84210526315789,32.5,42.5,23.333333333333332,35.483870967741936,47.368421052631575,38.297872340425535
claude-sonnet-4-5-20250929,40.54054054054054,36.84210526315789,42.5,40.0,46.666666666666664,48.38709677419355,42.10526315789473,42.12765957446808
gemini-2.5-flash-lite-preview-09-2025,32.432432432432435,28.947368421052634,42.5,37.5,30.0,29.03225806451613,52.63157894736842,35.319148936170215
gemini-3-pro-preview,78.37837837837837,71.05263157894737,60.0,77.5,56.666666666666664,77.41935483870968,73.68421052631578,70.63829787234043
gpt-5.2-2025-12-11-medium,78.37837837837837,44.73684210526316,52.5,67.5,50.0,67.74193548387096,57.89473684210527,60.0
gemini-3-flash-preview,75.67567567567568,71.05263157894737,60.0,72.5,53.333333333333336,64.51612903225806,73.68421052631578,67.23404255319149
